tick,v2_A_cohesion_v2,v2_A_fragmentation,v2_A_dispersion,v2_A_outlier_mass,v2_A_elongation,v2_A_c_v3,v2_A_c_conn,v2_A_c_scale,v2_A_rho,v2_B_cohesion_v2,v2_B_fragmentation,v2_B_dispersion,v2_B_outlier_mass,v2_B_elongation,v2_B_c_v3,v2_B_c_conn,v2_B_c_scale,v2_B_rho,v3_test_A_cohesion_v2,v3_test_A_fragmentation,v3_test_A_dispersion,v3_test_A_outlier_mass,v3_test_A_elongation,v3_test_A_c_v3,v3_test_A_c_conn,v3_test_A_c_scale,v3_test_A_rho,v3_test_B_cohesion_v2,v3_test_B_fragmentation,v3_test_B_dispersion,v3_test_B_outlier_mass,v3_test_B_elongation,v3_test_B_c_v3,v3_test_B_c_conn,v3_test_B_c_scale,v3_test_B_rho
21,0.04049498635865634,0.6799999999999999,0.4240012021000288,0.0,0.7803001797361782,0.32,0.32,1.0,0.46268776403609974,0.04218464412415668,0.71,0.4183583861215098,0.0,0.7499073542669741,0.29,0.29,1.0,0.4539480304284712,0.08803739941224997,0.48,0.4105863509285961,0.0,0.7127608234995355,0.52,0.52,1.0,0.4416353858305665,0.09253482988767969,0.53,0.3850785139345667,0.0,0.6798247886213116,0.47,0.47,1.0,0.43848011689419053
22,0.026999237610474847,0.79,0.42134626866117797,0.0,0.7778156586882228,0.21,0.21,1.0,0.46244352130496386,0.05834309599324938,0.61,0.4083099342720645,0.0,0.7471688461594705,0.39,0.39,1.0,0.45422841043882184,0.04227240416983802,0.76,0.4013276305997526,0.0,0.7057906354509433,0.24,0.24,1.0,0.4413634038039829,0.07570098261449754,0.63,0.37779791266332696,0.0,0.6711723498305375,0.37,0.37,1.0,0.4379512162899264
23,0.04948021463797425,0.62,0.4198635235320485,0.0,0.775550932523104,0.38,0.38,1.0,0.4618925429067889,0.025151947113713047,0.83,0.4202197614515828,0.0,0.7448125682049967,0.17,0.17,1.0,0.45389069490030376,0.09291661896582604,0.49,0.39541490371926147,0.0,0.698653754329398,0.51,0.51,1.0,0.4406137432135946,0.092146917082082,0.56,0.3723115288454265,0.0,0.6663554913395664,0.44,0.44,1.0,0.4389633089207832
24,0.04275041852576478,0.6699999999999999,0.42663113005606823,0.0,0.7740604180027846,0.33,0.33,1.0,0.4620139030650806,0.015180557066400535,0.9,0.4134044648092815,0.0,0.7412091269759689,0.1,0.1,1.0,0.45369846644300055,0.06654663699435359,0.65,0.38557155204705995,0.0,0.6905526604623318,0.35,0.35,1.0,0.4402016461903397,0.08579027168209707,0.6,0.37129628868436315,0.0,0.6588604849231333,0.4,0.4,1.0,0.438471514444953
25,0.05270841645298119,0.6,0.421552332605855,0.0,0.7721988546931658,0.4,0.4,1.0,0.4620013864082658,0.021688810800238434,0.86,0.40897474138774736,0.0,0.7378790924971327,0.14,0.14,1.0,0.4533812501569117,0.075296219609705,0.62,0.37754378504359076,0.0,0.681667655362385,0.38,0.38,1.0,0.43939554320431967,0.0745261749904419,0.6599999999999999,0.36969257776749,0.0,0.652241708421495,0.34,0.34,1.0,0.4386053993859155
26,0.021613385256793127,0.84,0.4137455120120801,0.0,0.7695818784798107,0.16,0.16,1.0,0.46147110495238686,0.0204360431495626,0.87,0.4076520124570737,0.0,0.7346148966053165,0.13,0.13,1.0,0.4527710779232638,0.08531144853583483,0.5800000000000001,0.3754899638143925,0.0,0.6747490276464934,0.42,0.42,1.0,0.43929682698297456,0.09193617546235322,0.5900000000000001,0.3684414754704487,0.0,0.6449504430876694,0.41,0.41,1.0,0.43861169804953715
27,0.04179081057749734,0.69,0.42115209057743586,0.0,0.7671079670763539,0.31,0.31,1.0,0.46095578501865075,0.02731952130913018,0.83,0.40250159732206214,0.0,0.7310401738246703,0.17,0.17,1.0,0.4521280159414724,0.08635715909817232,0.5900000000000001,0.36807055714170933,0.0,0.6666918756626945,0.41,0.41,1.0,0.43890100282463046,0.06590354359503525,0.71,0.3746249289175293,0.0,0.636612316173375,0.29,0.29,1.0,0.4381494964020621
28,0.030082303626390083,0.78,0.4190387309516539,0.0,0.7646353534370645,0.22,0.22,1.0,0.46073382297114573,0.03289394068515128,0.8,0.39628748569702243,0.0,0.7275694978500705,0.2,0.2,1.0,0.45192155180289256,0.06057722460079473,0.72,0.3636376810549634,0.0,0.6600250764756388,0.28,0.28,1.0,0.4390571748032312,0.08256853632421368,0.65,0.3667921507024331,0.0,0.6274365454484362,0.35,0.35,1.0,0.4375841048634602
29,0.04405779557574463,0.6799999999999999,0.42046483928480516,0.0,0.7624292355199075,0.32,0.32,1.0,0.4605493469324034,0.027936376041593824,0.83,0.40168737970373525,0.0,0.7253415385209334,0.17,0.17,1.0,0.45196089556652375,0.03346007797448869,0.85,0.3561936421811802,0.0,0.6535181987759011,0.15,0.15,1.0,0.4394543267143308,0.07751204441478388,0.6799999999999999,0.36074534003953274,0.0,0.6210819349972683,0.32,0.32,1.0,0.4380621875125648
30,0.03376639570411888,0.76,0.4134975524866479,0.0,0.7601147002363948,0.24,0.24,1.0,0.4601505905680769,0.029854902303165454,0.8200000000000001,0.4025939753944424,0.0,0.7223654239837469,0.18,0.18,1.0,0.4518661089631711,0.07370730061294606,0.6799999999999999,0.34830326225566477,0.0,0.64656058397239,0.32,0.32,1.0,0.4393410594719521,0.05120675912048622,0.79,0.365714965992582,0.0,0.6155644591565408,0.21,0.21,1.0,0.43877123961419856
31,0.0293224654559453,0.79,0.4230078119929427,0.0,0.7580022905201866,0.21,0.21,1.0,0.46018415697167453,0.0186703678578235,0.89,0.39695064105293754,0.0,0.7185460619912473,0.11,0.11,1.0,0.45182396851723033,0.06547469102961423,0.72,0.34993585624414314,0.0,0.6402844480891039,0.28,0.28,1.0,0.439785632163598,0.09265062772561206,0.63,0.36207926777140065,0.0,0.607463609018777,0.37,0.37,1.0,0.43853190925081326
32,0.04718692876802055,0.6699999999999999,0.41470062472046976,0.0,0.7556964875143841,0.33,0.33,1.0,0.4597122254156578,0.039281135243987686,0.77,0.40200362609048146,0.0,0.7144003676435027,0.23,0.23,1.0,0.451203252184815,0.07452680613473417,0.69,0.3462875613923736,0.0,0.6322403585289149,0.31,0.31,1.0,0.4394330340588827,0.06913610932230463,0.73,0.35716659051661037,0.0,0.6016702610984936,0.27,0.27,1.0,0.43904186971563697
