case_id,tick,side,enemy_cohesion_v2,enemy_cohesion_v1,collapse_threshold_theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability,N_alive_enemy,LCC_ratio_enemy,Q50_dist_enemy,Q90_dist_enemy,IQR_dist_enemy,lambda1_enemy,lambda2_enemy
FR8_MB5_PD5,14,B,0.14316480275423937,1.0,0.4444444444444444,0.6778791938029614,True,0.39,0.38581547949756834,0.0,0.617873147037674,0.8568351972457606,100,0.61,7.453929953068245,12.13630383743892,4.850876495208887,48.44311529463842,18.51141519523168
FR8_MB5_PD5,15,A,0.1172802208331547,1.0,0.4444444444444444,0.7361195031254019,True,0.33999999999999997,0.39969436399159675,0.0,0.703988612410477,0.8827197791668453,100,0.66,7.768672144939432,12.94119474972193,5.619827781811446,57.46799461699584,17.011180828564473
FR8_MB5_PD5,15,B,0.1268331901212023,1.0,0.4444444444444444,0.7146253222272948,True,0.49,0.38272295521508204,0.0,0.5971135946970622,0.8731668098787977,100,0.51,7.546128315015023,12.224864635368665,4.822255196666291,47.20921364067335,19.01995038086971
FR8_MB5_PD5,16,A,0.07957315182897251,1.0,0.4444444444444444,0.8209604083848119,True,0.5700000000000001,0.39217790461345625,0.0,0.6955460440360564,0.9204268481710275,100,0.43,7.874544691766651,12.955344584437727,5.466676602230349,56.87652364668337,17.316282625709842
FR8_MB5_PD5,16,B,0.16132920716165844,1.0,0.4444444444444444,0.6370092838862685,True,0.39,0.3835159134681865,0.0,0.570996046971877,0.8386707928383416,100,0.61,7.464881265445618,12.108797986079718,4.631779120052602,45.81817713884858,19.656179113109246
FR8_MB5_PD5,17,A,0.1084205860891495,1.0,0.4444444444444444,0.7560536812994136,True,0.43000000000000005,0.39611357746409703,0.0,0.6850209783760144,0.8915794139108505,100,0.57,7.808675110249261,12.930701567124586,5.497042875362478,55.99386328785796,17.636892275357024
FR8_MB5_PD5,17,B,0.19080726167724582,1.0,0.4444444444444444,0.5706836612261968,True,0.31999999999999995,0.38172386703602545,0.0,0.5461592332764466,0.8091927383227542,100,0.68,7.413927153291378,11.991287966673573,4.7602613440671,44.70353118429385,20.288284867930656
FR8_MB5_PD5,18,A,0.11409302146597844,1.0,0.4444444444444444,0.7432907017015485,True,0.42000000000000004,0.39583570527083767,0.0,0.6744062704599119,0.8859069785340216,100,0.58,7.698106637282661,12.741743768116264,5.242713223726666,55.22776366663351,17.981813546378103
FR8_MB5_PD5,18,B,0.18816493220078245,1.0,0.4444444444444444,0.5766289025482395,True,0.38,0.3633424182819872,0.0,0.5233044656260508,0.8118350677992175,100,0.62,7.531478479833464,11.829716155285327,4.898978223871071,43.85146394976043,20.903797040611494
FR8_MB5_PD5,19,A,0.11718433888000213,1.0,0.4444444444444444,0.7363352375199952,True,0.43999999999999995,0.3810506026873205,0.0,0.6619146106151044,0.8828156611199979,100,0.56,7.789246218788927,12.584625257910982,5.097349334147934,54.24599594523046,18.339778661715044
FR8_MB5_PD5,19,B,0.19758480397812062,1.0,0.4444444444444444,0.5554341910492286,True,0.4,0.34907712644746847,0.0,0.49409059043671044,0.8024151960218794,100,0.6,7.612388542936386,11.694762701134426,4.821251200677851,42.66952421003166,21.586913799444112
