case_id,side,cohesion_v2_t0,cohesion_v2_t1,margin_t1,collapse_event_t1,dominant_component_t1,frag_t1,disp_t1,out_t1,elong_t1
FR5_MB2_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR5_MB2_PD5,B,0.04052646724512632,0.10344206482482132,0.767255354144152,True,elong,0.16000000000000003,0.40396577015931767,0.0,0.7933922095370921
FR5_MB2_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR5_MB2_PD8,B,0.04052646724512632,0.10466401049259355,0.8654319865095226,True,elong,0.15000000000000002,0.4039511006651192,0.0,0.7934160601106899
FR5_MB5_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
FR5_MB5_PD2,B,0.04052646724512632,0.10420882755614014,0.062120551994738704,True,elong,0.15000000000000002,0.40710581406268465,0.0,0.7932200659710222
FR5_MB5_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR5_MB5_PD5,B,0.04052646724512632,0.10414443235658766,0.7656750271976778,True,elong,0.15000000000000002,0.40697910553892525,0.0,0.7933919989322945
FR5_MB5_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR5_MB5_PD8,B,0.04052646724512632,0.10413537369578274,0.8661116623911365,True,elong,0.15000000000000002,0.4069609785284618,0.0,0.7934162847429772
FR5_MB8_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
FR5_MB8_PD2,B,0.04052646724512632,0.10351360873899007,0.06837752134908931,True,elong,0.15000000000000002,0.41067821070563715,0.0,0.7933544654621808
FR5_MB8_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR5_MB8_PD5,B,0.04052646724512632,0.10345490200321428,0.7672264704927678,True,elong,0.15000000000000002,0.4105236762947755,0.0,0.7935258049882089
FR5_MB8_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR5_MB8_PD8,B,0.04052646724512632,0.10344663045170377,0.866997189419238,True,elong,0.15000000000000002,0.41050157113066643,0.0,0.7935500550664722
FR8_MB2_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
