tick,side,enemy_cohesion_v2,enemy_cohesion_v1,theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability
57,B,0.13931020320368348,1.0,0.4444444444444444,0.6865520427917121,True,0.30000000000000004,0.39365691241512735,0.03,0.6616277645680462,0.8606897967963165
58,A,0.10930049662915853,1.0,0.4444444444444444,0.7540738825843933,True,0.75,0.3094077326652923,0.0,0.36691734443540136,0.8906995033708415
58,B,0.14750181437069088,1.0,0.4444444444444444,0.6681209176659455,True,0.25,0.39367313736089005,0.03,0.6656067092404561,0.8524981856293091
59,A,0.19610866553039474,1.0,0.4444444444444444,0.5587555025566118,True,0.53,0.31732193902181005,0.0,0.3888005141778913,0.8038913344696053
59,B,0.12764937300169366,1.0,0.4444444444444444,0.7127889107461892,True,0.32999999999999996,0.3948211070132235,0.03,0.6754449460048725,0.8723506269983063
60,A,0.13350805761838158,1.0,0.4444444444444444,0.6996068703586414,True,0.6699999999999999,0.3229088257559509,0.0,0.4024883398863638,0.8664919423816184
60,B,0.13802106980897622,1.0,0.4444444444444444,0.6894525929298035,True,0.26,0.39386830140929785,0.03,0.682769497881045,0.8619789301910238
61,A,0.1674480985015674,1.0,0.4444444444444444,0.6232417783714733,True,0.5800000000000001,0.3126936343414646,0.0,0.4199297886157959,0.8325519014984326
61,B,0.14065825509888918,1.0,0.4444444444444444,0.6835189260274993,True,0.24,0.39396218947156614,0.03,0.6851670501757143,0.8593417449011108
62,A,0.08795502710608849,1.0,0.4444444444444444,0.8021011890113009,True,0.77,0.3183003587121287,0.0,0.43902983341994684,0.9120449728939115
62,B,0.1350835690405896,1.0,0.4444444444444444,0.6960619696586734,True,0.22999999999999998,0.41024245312087426,0.03,0.6933333421879656,0.8649164309594104
63,A,0.1336619836524955,1.0,0.4444444444444444,0.6992605367818852,True,0.64,0.31670698368547223,0.0,0.4566265437247017,0.8663380163475045
63,B,0.13930533763410835,1.0,0.4444444444444444,0.6865629903232562,True,0.22999999999999998,0.4005717561870966,0.03,0.6888512249113643,0.8606946623658916
64,A,0.09852706805010636,1.0,0.4444444444444444,0.7783140968872607,True,0.73,0.31303950083430376,0.0,0.46879759855853453,0.9014729319498936
64,B,0.12855358446109233,1.0,0.4444444444444444,0.7107544349625422,True,0.28,0.409083779669108,0.03,0.6885028707284939,0.8714464155389077
65,A,0.0784922951224396,1.0,0.4444444444444444,0.8233923359745109,True,0.78,0.31469205448586657,0.0,0.4793827184072902,0.9215077048775604
65,B,0.11175305103146693,1.0,0.4444444444444444,0.7485556351791994,True,0.33999999999999997,0.4247717749768122,0.03,0.6965385480571356,0.8882469489685331
66,A,0.08486354162210108,1.0,0.4444444444444444,0.8090570313502725,True,0.75,0.32635517763651134,0.0,0.4960932598020623,0.9151364583778989
66,B,0.1343360459151176,1.0,0.4444444444444444,0.6977438966909854,True,0.19999999999999996,0.41616589265050175,0.03,0.7034886125157613,0.8656639540848824
67,A,0.09888499844077714,1.0,0.4444444444444444,0.7775087535082514,True,0.7,0.32827167835077753,0.0,0.5093006341313928,0.9011150015592229
