tick,cohesion_v1_A,cohesion_v1_B,cohesion_v2_A,cohesion_v2_B,enemy_collapse_v1_for_A,enemy_collapse_v1_for_B,enemy_collapse_v2_for_A,enemy_collapse_v2_for_B,alive_A,alive_B,pocket_count_A,pocket_count_B
127,0.14715091459037716,0.133692961013784,0.14391250845475523,0.14214070145820057,0.866307038986216,0.8528490854096229,0.8578592985417994,0.8560874915452448,96,97,3,2
128,0.15057917512142188,0.14380736812486725,0.15390655572446454,0.18316342703519384,0.8561926318751327,0.8494208248785782,0.8168365729648062,0.8460934442755355,95,97,3,2
129,0.1605732223911312,0.18483009370186052,0.13178604527302862,0.0555579592976474,0.8151699062981395,0.8394267776088689,0.9444420407023526,0.8682139547269714,94,97,3,2
130,0.13845271193969527,0.05722462596431407,0.12866872191598955,0.17712492813990321,0.9427753740356859,0.8615472880603048,0.8228750718600968,0.8713312780840105,94,96,3,2
131,0.1353353885826562,0.1787915948065699,0.12610300967304489,0.10782634470584262,0.8212084051934301,0.8646646114173437,0.8921736552941574,0.8738969903269551,93,96,2,2
132,0.13276967633971154,0.10949301137250929,0.14936685885226497,0.15951481223414454,0.8905069886274907,0.8672303236602885,0.8404851877658555,0.850633141147735,93,94,2,2
133,0.15603352551893163,0.16118147890081122,0.13923965889223755,0.16324527306283154,0.8388185210991888,0.8439664744810684,0.8367547269371685,0.8607603411077625,93,94,2,2
134,0.1459063255589042,0.16491193972949822,0.16827495409948023,0.13850131415610767,0.8350880602705018,0.8540936744410959,0.8614986858438923,0.8317250459005198,93,94,2,2
135,0.1749416207661469,0.14016798082277435,0.16473463182067993,0.173656813837185,0.8598320191772256,0.8250583792338531,0.826343186162815,0.8352653681793201,92,94,1,2
136,0.1714012984873466,0.1753234805038517,0.15269821932776306,0.1474949274980022,0.8246765194961483,0.8285987015126535,0.8525050725019978,0.8473017806722369,91,94,2,2
137,0.15936488599442972,0.14916159416466887,0.1583704546239335,0.12310804530873176,0.8508384058353311,0.8406351140055703,0.8768919546912682,0.8416295453760665,90,93,2,3
138,0.16503712129060016,0.12477471197539843,0.168245602082983,0.1680513119604441,0.8752252880246015,0.8349628787093999,0.8319486880395559,0.831754397917017,90,93,1,2
139,0.17491226874964966,0.16971797862711077,0.17428285401120536,0.11369424360858227,0.8302820213728892,0.8250877312503504,0.8863057563914177,0.8257171459887946,90,93,2,3
140,0.180949520677872,0.11536091027524893,0.14873973692037123,0.14344652599939345,0.884639089724751,0.819050479322128,0.8565534740006066,0.8512602630796288,89,93,2,3
141,0.1554064035870379,0.14511319266606013,0.18681262864122905,0.06476350110006224,0.8548868073339398,0.844593596412962,0.9352364988999378,0.813187371358771,88,93,2,3
142,0.1934792953078957,0.0664301677667289,0.21438261377209977,0.12172947764844877,0.9335698322332711,0.8065207046921044,0.8782705223515512,0.7856173862279002,88,93,2,3
143,0.22104928043876643,0.12339614431511543,0.22331266272745487,0.11967543733480246,0.8766038556848845,0.7789507195612335,0.8803245626651975,0.7766873372725451,87,92,3,3
144,0.22997932939412152,0.12134210400146912,0.18442470805284072,0.1115942886978647,0.8786578959985308,0.7700206706058785,0.8884057113021353,0.8155752919471593,87,91,3,2
145,0.19109137471950738,0.11326095536453136,0.1865423648536838,0.19232031144847261,0.8867390446354686,0.8089086252804927,0.8076796885515274,0.8134576351463162,87,90,3,2
146,0.19320903152035046,0.1939869781151393,0.16041786499681876,0.15275143687757253,0.8060130218848607,0.8067909684796495,0.8472485631224275,0.8395821350031812,87,90,2,2
147,0.1670845316634854,0.1544181035442392,0.16534321074977487,0.17744500794337503,0.8455818964557608,0.8329154683365145,0.822554992056625,0.8346567892502251,86,90,2,2
148,0.17200987741644153,0.1791116746100417,0.1731829388645072,0.22864454298068038,0.8208883253899583,0.8279901225835584,0.7713554570193196,0.8268170611354928,85,90,3,2
149,0.17984960553117385,0.23031120964734705,0.1657664655950155,0.22244526405481924,0.7696887903526529,0.8201503944688262,0.7775547359451808,0.8342335344049845,85,90,3,2
150,0.17243313226168216,0.2241119307214859,0.20124372438633642,0.21053888624018446,0.7758880692785141,0.8275668677383179,0.7894611137598155,0.7987562756136636,85,90,3,2
151,0.20791039105300307,0.21220555290685114,0.23226632439762962,0.17846614603583322,0.7877944470931488,0.7920896089469969,0.8215338539641668,0.7677336756023704,84,90,2,2
152,0.23893299106429627,0.1801328127024999,0.2132777968541133,0.1665375765970507,0.8198671872975001,0.7610670089357037,0.8334624234029493,0.7867222031458867,84,88,2,2
153,0.21994446352077995,0.16820424326371738,0.21342216606327047,0.1635763390622954,0.8317957567362826,0.7800555364792201,0.8364236609377046,0.7865778339367295,84,88,2,2
