tick,side,split_separation,angle_coverage,split_cond,env_cond,in_contact_count,sustain_split_geom,sustain_split_tactical,sustain_env_geom,sustain_env_tactical,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
116,A,1.732664594778046,0.3333333333333333,1,0,83,51,11,0,0,0,0,0,0
116,B,1.750898014448669,0.3333333333333333,1,0,83,34,11,0,0,0,0,0,0
117,A,1.72933409547452,0.4166666666666667,1,0,96,52,12,0,0,0,0,0,0
117,B,1.7690532135526282,0.3333333333333333,1,0,96,35,12,0,0,0,0,0,0
118,A,1.7540470570731586,0.5,1,0,107,53,13,0,0,0,0,0,0
118,B,1.7467018590287007,0.5,1,0,107,36,13,0,0,0,0,0,0
119,A,1.7361293891455036,0.4166666666666667,1,0,109,54,14,0,0,0,0,0,0
119,B,1.745641940389745,0.5,1,0,109,37,14,0,0,0,0,0,0
120,A,1.7254232917463606,0.5,1,0,112,55,15,0,0,0,0,0,0
120,B,1.7450948271170452,0.5,1,0,112,38,15,0,0,0,0,0,0
121,A,1.7401609883107363,0.5,1,0,114,56,16,0,0,0,0,0,0
121,B,1.7382225859027156,0.5,1,0,114,39,16,0,0,0,0,0,0
122,A,1.7538118728489944,0.3333333333333333,1,0,110,57,17,0,0,0,0,0,0
122,B,1.743432999691499,0.4166666666666667,1,0,110,40,17,0,0,0,0,0,0
123,A,1.7301579228850177,0.4166666666666667,1,0,110,58,18,0,0,0,0,0,0
123,B,1.7329004008048106,0.5,1,0,110,41,18,0,0,0,0,0,0
124,A,1.7253866490294425,0.6666666666666666,1,1,124,59,19,1,1,0,0,0,0
124,B,1.7288894013923013,0.6666666666666666,1,1,124,42,19,1,1,0,0,0,0
125,A,1.7263926080419274,0.6666666666666666,1,1,128,60,20,2,2,0,1,0,0
125,B,1.7372241548089526,0.6666666666666666,1,1,128,43,20,2,2,0,1,0,0
126,A,1.7078117235404857,0.5833333333333334,0,1,125,0,0,3,3,0,0,0,0
126,B,1.7052218917849056,0.5833333333333334,0,1,125,0,0,3,3,0,0,0,0
127,A,1.725426344107872,0.6666666666666666,1,1,110,1,1,4,4,0,0,0,0
127,B,1.697920831666967,0.5833333333333334,0,1,110,0,0,4,4,0,0,0,0
128,A,1.7248953820063642,0.6666666666666666,1,1,114,2,2,5,5,0,0,0,0
128,B,1.6985208020788776,0.5833333333333334,0,1,114,0,0,5,5,0,0,0,0
129,A,1.7198609739229542,0.5833333333333334,1,1,115,3,3,6,6,0,0,0,0
129,B,1.7025726557219794,0.5833333333333334,0,1,115,0,0,6,6,0,0,0,0
130,A,1.7301048078928078,0.5833333333333334,1,1,107,4,4,7,7,0,0,0,0
130,B,1.7021791087449307,0.5,0,0,107,0,0,0,0,0,0,0,0
131,A,1.7150831226999093,0.5,1,0,107,5,5,0,0,0,0,0,0
131,B,1.7018219044843044,0.5833333333333334,0,1,107,0,0,1,1,0,0,0,0
132,A,1.670103188555358,0.5,0,0,106,0,0,0,0,0,0,0,0
