tick,max_projection_displacement,mean_projection_displacement,projection_pairs_count,collision_pairs_count,outlier_count_A,outlier_count_B,max_outlier_persistence_A,max_outlier_persistence_B,in_contact_count,frontline_width,frontline_width_std,persistent_outlier_unit_ids
146,1.528141,0.385299,289,289,5,2,15,7,161,15.693147,3.592800,
147,1.885376,0.416066,289,289,5,3,16,8,159,16.763492,3.639528,
148,1.878371,0.444781,321,321,6,4,17,9,159,18.557540,3.738434,
149,1.576798,0.420859,323,323,5,2,18,10,157,16.973940,3.704358,
150,1.729328,0.387440,316,316,5,2,19,11,157,17.987319,3.810841,
151,1.637134,0.479550,320,320,4,2,20,12,155,16.835469,3.817689,A22
152,1.883612,0.495725,320,320,5,2,21,13,155,17.238088,3.894739,A22
153,1.715991,0.411549,291,291,5,2,22,14,153,18.094372,4.025771,A22|A8
154,1.694183,0.487538,320,320,4,2,23,15,153,18.358984,4.145344,A22|A8
155,1.574063,0.466608,320,320,4,2,24,16,151,18.872144,4.137084,A22|A8
156,1.761911,0.486994,374,374,4,2,25,17,150,19.001660,4.073142,A22|A8
157,1.691317,0.474783,366,366,4,2,26,18,149,19.354056,4.114213,A22|A8
158,1.699987,0.511730,403,403,4,2,27,19,148,19.114481,4.182753,A22|A8
159,1.711810,0.498520,366,366,5,2,28,20,147,19.927055,4.322366,A22|A8|B23
160,1.578826,0.484082,396,396,5,2,29,21,146,20.386726,4.296383,A22|A8|A9|B23
161,2.263117,0.549795,395,395,5,2,30,22,145,20.857757,4.232624,A22|A8|A9|B23
162,1.955177,0.464201,375,375,4,2,31,23,144,21.647432,4.313512,A22|A8|A9|B23
163,1.553042,0.510825,412,412,4,1,32,24,143,21.250707,4.305271,A22|A8|A9|B23
164,1.411128,0.416662,365,365,3,1,33,25,142,20.606747,4.179881,A22|A8|A9|B23
165,1.870288,0.449943,373,373,3,2,34,26,141,20.839003,4.130928,A22|A8|A9|B23
166,1.682648,0.478365,356,356,3,2,35,27,140,19.901868,4.061729,A22|A8|A9|B23
167,1.862850,0.502500,386,386,3,2,36,28,140,19.833161,4.254796,A22|A8|A9|B23
168,1.735841,0.572860,395,395,4,2,37,29,138,23.180267,4.450638,A22|A8|A9|B23
169,1.638282,0.499146,378,378,3,2,38,30,138,23.211847,4.559000,A22|A8|B23
170,2.318432,0.554531,373,373,3,2,39,31,136,23.036036,4.607532,A22|A8|B23
171,2.259537,0.588786,345,345,3,1,40,7,136,19.268627,4.360012,A22|A8
172,2.017665,0.486504,349,349,3,0,41,0,134,20.523178,4.567926,A22|A8
173,3.402589,0.567358,351,351,3,1,42,1,134,19.291939,4.401006,A22|A8
174,2.024853,0.561398,344,344,4,1,43,2,132,18.718365,4.205576,A22|A8
175,1.653315,0.545049,394,394,4,2,44,3,132,19.237516,4.323543,A22|A8
176,2.567668,0.555528,396,396,4,0,45,0,130,19.509502,4.296177,A22|A8
177,2.060710,0.545579,326,326,3,0,46,0,130,19.751731,4.320166,A22|A8
178,1.505197,0.508280,355,355,3,0,47,0,128,19.068301,4.244041,A22|A8
179,1.540212,0.486306,366,366,2,0,48,0,128,25.938345,4.768484,A22|A8
180,1.889488,0.550995,360,360,3,1,49,1,126,31.836514,5.005441,A22|A8
181,1.480663,0.468935,361,361,3,0,50,0,126,31.599648,4.983081,A22|A8
182,1.629235,0.493095,354,354,3,0,51,0,124,28.383643,4.749200,A22|A8
183,2.282267,0.598087,340,340,3,0,52,0,124,29.607404,5.075027,A22|A8
184,1.732372,0.542458,340,340,3,1,53,1,122,30.878216,4.976472,A22|A8
185,1.948410,0.571887,356,356,2,0,54,0,122,24.203308,4.367019,A22|A8
186,1.623219,0.552091,327,327,2,1,55,1,120,26.932254,4.600960,A22|A8
187,2.289395,0.580774,337,337,2,0,56,0,120,28.984126,4.843409,A22|A8
188,2.051327,0.490062,309,309,2,0,57,0,118,28.638891,4.655989,A22|A8
189,2.229855,0.525716,306,306,2,0,58,0,118,28.117993,4.591108,A22|A8
190,1.697089,0.518581,308,308,2,0,59,0,116,30.517872,4.856499,A22|A8
191,2.297165,0.556706,290,290,2,0,60,0,116,30.178932,4.814292,A22|A8
192,1.841767,0.564515,283,283,2,1,61,1,115,29.990671,4.683609,A22|A8
193,1.553469,0.463300,266,266,2,1,62,2,114,29.846010,4.745048,A22|A8
194,1.785139,0.470175,293,293,2,1,63,3,113,28.820134,4.551600,A22|A8
195,1.329703,0.428473,252,252,2,1,64,4,112,30.343058,4.719265,A22|A8
196,1.785801,0.489106,260,260,2,1,65,5,111,30.251109,4.743423,A22|A8
197,1.209142,0.361355,271,271,2,1,66,6,110,30.335275,4.771142,A22|A8
198,1.652590,0.430556,261,261,3,1,67,7,109,30.382132,4.702597,A22|A8
199,1.879420,0.481285,288,288,2,1,68,8,108,29.972231,4.627431,A22|A8
200,1.585796,0.471805,312,312,2,2,69,9,107,28.327163,4.406821,A22|A8
201,1.871165,0.514401,269,269,2,2,70,10,106,28.673016,4.499077,A22|A8
202,1.611813,0.462992,264,264,2,2,71,11,105,29.144114,4.601776,A22|A8
203,1.908890,0.549684,271,271,2,3,72,12,104,29.013484,4.619259,A22|A8
204,2.319244,0.520511,289,289,2,2,73,13,104,28.647663,4.455943,A22|A8
205,1.372580,0.404140,265,265,2,2,74,14,102,28.737715,4.523836,A22|A8
206,2.158078,0.548917,297,297,2,3,75,15,102,27.163236,4.305970,A22|A8
207,1.813435,0.455267,259,259,2,2,76,16,100,26.830277,4.309454,A22|A8
208,1.611587,0.550016,286,286,2,2,77,17,100,23.809944,4.114315,A22|A8
209,1.831861,0.422491,264,264,2,2,78,18,99,24.268047,4.111387,A22|A8
210,1.915781,0.552310,286,286,2,3,79,19,98,20.415294,3.887609,A22|A8
211,2.293155,0.575418,269,269,2,3,80,20,97,26.345242,4.273909,A22|A8|B5
212,1.896391,0.593572,242,242,2,3,81,21,97,28.206878,4.345174,A22|A8|B5
