tick,side,split_separation,angle_coverage,split_cond,env_cond,sustain_split_geom,sustain_env_geom,sustain_split_tactical,sustain_env_tactical,in_contact_count,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
109,B,1.7720498961815216,0.08333333333333333,1,0,54,0,3,0,10,0,0,0,0
110,A,1.7640349600435725,0.08333333333333333,1,0,47,0,4,0,16,0,0,0,0
110,B,1.8080554405844271,0.08333333333333333,1,0,55,0,4,0,16,0,0,0,0
111,A,1.7626197980267404,0.08333333333333333,1,0,48,0,5,0,20,0,0,0,0
111,B,1.808813599758328,0.16666666666666666,1,0,56,0,5,0,20,0,0,0,0
112,A,1.7611784191478916,0.16666666666666666,1,0,49,0,6,0,26,0,0,0,0
112,B,1.7694592675268823,0.16666666666666666,1,0,57,0,6,0,26,0,0,0,0
113,A,1.7608178939873043,0.25,1,0,50,0,7,0,37,0,0,0,0
113,B,1.7683512060328628,0.16666666666666666,1,0,58,0,7,0,37,0,0,0,0
114,A,1.7592471837288421,0.25,1,0,51,0,8,0,44,0,0,0,0
114,B,1.765283879519118,0.25,1,0,59,0,8,0,44,0,0,0,0
115,A,1.7597953018979506,0.25,1,0,52,0,9,0,55,0,0,0,0
115,B,1.7664371633709968,0.25,1,0,60,0,9,0,55,0,0,0,0
116,A,1.7574018283631554,0.25,1,0,53,0,10,0,66,0,0,0,0
116,B,1.775239535415969,0.25,1,0,61,0,10,0,66,0,0,0,0
117,A,1.7656228837520036,0.25,1,0,54,0,11,0,79,0,0,0,0
117,B,1.7804148023368647,0.25,1,0,62,0,11,0,79,0,0,0,0
118,A,1.7738923557119775,0.3333333333333333,1,0,55,0,12,0,81,0,0,0,0
118,B,1.7824480407993994,0.25,1,0,63,0,12,0,81,0,0,0,0
119,A,1.7886108299438097,0.3333333333333333,1,0,56,0,13,0,93,0,0,0,0
119,B,1.7687900414060926,0.4166666666666667,1,0,64,0,13,0,93,0,0,0,0
120,A,1.7635722415764596,0.3333333333333333,1,0,57,0,14,0,97,0,0,0,0
120,B,1.7642823423094849,0.4166666666666667,1,0,65,0,14,0,97,0,0,0,0
121,A,1.7555311049446838,0.3333333333333333,1,0,58,0,15,0,97,0,0,0,0
121,B,1.7472800439808536,0.4166666666666667,1,0,66,0,15,0,97,0,0,0,0
122,A,1.745914888757927,0.3333333333333333,1,0,59,0,16,0,100,0,0,0,0
122,B,1.7675028548119451,0.4166666666666667,1,0,67,0,16,0,100,0,0,0,0
123,A,1.761101129167488,0.4166666666666667,1,0,60,0,17,0,99,0,0,0,0
123,B,1.765428595346609,0.4166666666666667,1,0,68,0,17,0,99,0,0,0,0
124,A,1.753905911728316,0.4166666666666667,1,0,61,0,18,0,98,0,0,0,0
124,B,1.756764044025119,0.3333333333333333,1,0,69,0,18,0,98,0,0,0,0
125,A,1.745954119859082,0.5,1,0,62,0,19,0,101,0,0,0,0
125,B,1.7725997493648775,0.3333333333333333,1,0,70,0,19,0,101,0,0,0,0
126,A,1.745927262287808,0.4166666666666667,1,0,63,0,20,0,103,0,1,0,0
126,B,1.719393168037862,0.3333333333333333,1,0,71,0,20,0,103,0,1,0,0
127,A,1.7446826286553518,0.5,1,0,64,0,21,0,111,0,0,0,0
127,B,1.7614029329393712,0.5,1,0,72,0,21,0,111,0,0,0,0
128,A,1.7175418363002073,0.5,1,0,65,0,22,0,111,0,0,0,0
128,B,1.7142309740950927,0.5,0,0,0,0,0,0,111,0,0,0,0
129,A,1.6981174149773768,0.5,0,0,0,0,0,0,108,0,0,0,0
129,B,1.7050221724043702,0.4166666666666667,0,0,0,0,0,0,108,0,0,0,0
130,A,1.7265182185657812,0.5,1,0,1,0,1,0,104,0,0,0,0
130,B,1.6738552431228826,0.4166666666666667,0,0,0,0,0,0,104,0,0,0,0
131,A,1.7052902223556206,0.5,0,0,0,0,0,0,99,0,0,0,0
