case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,17,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9844166096,3.2000000000,3.1750665754,100,100,1.0000000000,8.9239198870,20.0000000000,19.8441660961,0.4461959944,0.4496999190,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,18,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9953327253,3.2000000000,3.1925323605,100,100,1.0000000000,8.9239194560,20.0000000000,19.9533272534,0.4461959728,0.4472396680,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,18,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9727247897,3.2000000000,3.1563596635,100,100,1.0000000000,8.9061388192,20.0000000000,19.7272478966,0.4453069410,0.4514638264,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,19,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9460646227,3.2000000000,3.1137033964,100,100,1.0000000000,8.8952132874,20.0000000000,19.4606462273,0.4447606644,0.4570872510,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,19,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9416431193,3.2000000000,3.1066289908,100,100,1.0000000000,8.9039275576,20.0000000000,19.4164311928,0.4451963779,0.4585769377,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,20,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9847951956,3.2000000000,3.1756723130,100,100,1.0000000000,8.8720976279,20.0000000000,19.8479519563,0.4436048814,0.4470031793,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,20,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9699393008,3.2000000000,3.1519028813,100,100,1.0000000000,8.8836064515,20.0000000000,19.6993930082,0.4441803226,0.4509583847,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,21,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9799705698,3.2000000000,3.1679529116,100,100,1.0000000000,8.8460306711,20.0000000000,19.7997056978,0.4423015336,0.4467758666,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,21,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9530674871,3.2000000000,3.1249079794,100,100,1.0000000000,8.8853698743,20.0000000000,19.5306748714,0.4442684937,0.4549443341,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,22,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,3.2000000000,3.2000000000,100,100,1.0000000000,8.8261131194,20.0000000000,20.0000000000,0.4413056560,0.4413056560,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
