case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,30,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.6698636672,3.2000000000,2.6717818674,99,100,0.9900000000,7.2317804825,20.0000000000,16.6986366715,0.3615890241,0.4330761022,1.0000000000,1.0000000000,0.9900000000,0.9900000000,0
FR8_MB8_PD5,8.0,8.0,5.0,30,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7269126554,3.2000000000,2.7630602486,96,100,0.9600000000,7.2910514003,20.0000000000,17.2691265536,0.3645525700,0.4222015154,1.0000000000,1.0000000000,0.9600000000,0.9600000000,0
FR8_MB8_PD5,8.0,8.0,5.0,31,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7161378288,3.2000000000,2.7458205261,99,100,0.9900000000,7.2118307391,20.0000000000,17.1613782882,0.3605915370,0.4202361033,1.0000000000,1.0000000000,0.9900000000,0.9900000000,1
FR8_MB8_PD5,8.0,8.0,5.0,31,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7365150493,3.2000000000,2.7784240788,98,100,0.9800000000,7.2524126463,20.0000000000,17.3651504925,0.3626206323,0.4176417964,1.0000000000,1.0000000000,0.9800000000,0.9800000000,0
FR8_MB8_PD5,8.0,8.0,5.0,32,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.6526249164,3.2000000000,2.6441998663,99,100,0.9900000000,7.2500153849,20.0000000000,16.5262491643,0.3625007692,0.4386969670,1.0000000000,1.0000000000,0.9900000000,0.9900000000,1
FR8_MB8_PD5,8.0,8.0,5.0,32,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7034774964,3.2000000000,2.7255639942,97,100,0.9700000000,7.2593253273,20.0000000000,17.0347749640,0.3629662664,0.4261474157,1.0000000000,1.0000000000,0.9700000000,0.9700000000,1
FR8_MB8_PD5,8.0,8.0,5.0,33,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.6579861730,3.2000000000,2.6527778768,98,100,0.9800000000,7.2601235602,20.0000000000,16.5798617301,0.3630061780,0.4378880644,1.0000000000,1.0000000000,0.9800000000,0.9800000000,1
FR8_MB8_PD5,8.0,8.0,5.0,33,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7184703493,3.2000000000,2.7495525589,98,100,0.9800000000,7.2591576403,20.0000000000,17.1847034933,0.3629578820,0.4224197201,1.0000000000,1.0000000000,0.9800000000,0.9800000000,1
FR8_MB8_PD5,8.0,8.0,5.0,34,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7856598679,3.2000000000,2.8570557886,98,100,0.9800000000,7.3293707922,20.0000000000,17.8565986789,0.3664685396,0.4104572726,1.0000000000,1.0000000000,0.9800000000,0.9800000000,1
FR8_MB8_PD5,8.0,8.0,5.0,34,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7532290936,3.2000000000,2.8051665498,98,100,0.9800000000,7.3095626815,20.0000000000,17.5322909361,0.3654781341,0.4169199968,1.0000000000,1.0000000000,0.9800000000,0.9800000000,1
FR8_MB8_PD5,8.0,8.0,5.0,35,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.6791691386,3.2000000000,2.6866706218,98,100,0.9800000000,7.3892125701,20.0000000000,16.7916913860,0.3694606285,0.4400517137,1.0000000000,1.0000000000,0.9800000000,0.9800000000,1
FR8_MB8_PD5,8.0,8.0,5.0,35,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.6430249595,3.2000000000,2.6288399352,98,100,0.9800000000,7.3735067108,20.0000000000,16.4302495952,0.3686753355,0.4487763054,1.0000000000,1.0000000000,0.9800000000,0.9800000000,1
FR8_MB8_PD5,8.0,8.0,5.0,36,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7386311945,3.2000000000,2.7818099112,97,100,0.9700000000,7.4282259220,20.0000000000,17.3863119451,0.3714112961,0.4272456370,1.0000000000,1.0000000000,0.9700000000,0.9700000000,1
FR8_MB8_PD5,8.0,8.0,5.0,36,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.6102197749,3.2000000000,2.5763516398,91,100,0.9100000000,7.4152419603,20.0000000000,16.1021977489,0.3707620980,0.4605111722,1.0000000000,1.0000000000,0.9100000000,0.9100000000,1
FR8_MB8_PD5,8.0,8.0,5.0,37,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7545076503,3.2000000000,2.8072122405,98,100,0.9800000000,7.5111283517,20.0000000000,17.5450765029,0.3755564176,0.4281046224,1.0000000000,1.0000000000,0.9800000000,0.9800000000,1
FR8_MB8_PD5,8.0,8.0,5.0,37,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7187758625,3.2000000000,2.7500413800,96,100,0.9600000000,7.4859695068,20.0000000000,17.1877586248,0.3742984753,0.4355407631,1.0000000000,1.0000000000,0.9600000000,0.9600000000,1
FR8_MB8_PD5,8.0,8.0,5.0,38,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8403472897,3.2000000000,2.9445556635,99,100,0.9900000000,7.5772454966,20.0000000000,18.4034728966,0.3788622748,0.4117291089,1.0000000000,1.0000000000,0.9900000000,0.9900000000,1
