tick,cohesion_v1_A,cohesion_v2_A,cohesion_v1_B,cohesion_v2_B
236,1.0,0.17319556497224986,1.0,0.1600337747674836
237,1.0,0.16135377983654864,1.0,0.19706636425108703
238,1.0,0.20133514717841816,1.0,0.10585904090280351
239,1.0,0.20091756593399446,1.0,0.1876323953925152
240,1.0,0.18494150263964004,1.0,0.19394173327389996
241,1.0,0.17003037442346447,1.0,0.12233640745554142
242,1.0,0.19435684201764547,1.0,0.12584054455158222
243,1.0,0.192817141567995,1.0,0.09293220607047592
244,1.0,0.14014508144999793,1.0,0.09816033801468671
245,1.0,0.2608820040469745,1.0,0.07585557373132301
246,1.0,0.24970039121266785,1.0,0.10544509426781401
247,1.0,0.27878281589388365,1.0,0.04409124351078475
248,1.0,0.27798380068964246,1.0,0.06441026501720315
249,1.0,0.234415633679964,1.0,0.06438920038651252
250,1.0,0.24804550290591454,1.0,0.0653293068124865
251,1.0,0.23339665084876005,1.0,0.05062517970626268
252,1.0,0.21371895257292883,1.0,0.052005742372142394
253,1.0,0.24618940788005939,1.0,0.0722395352279177
254,1.0,0.23689120102333072,1.0,0.10994417316240102
255,1.0,0.24221143556688784,1.0,0.1275695220687998
256,1.0,0.22213597467200497,1.0,0.1151353357405499
257,1.0,0.202100247462635,1.0,0.13335101069704325
258,1.0,0.2211940352681988,1.0,0.08408750874417015
259,1.0,0.22260700691487656,1.0,0.06195273922349198
260,1.0,0.2411785837032685,1.0,0.08012772458083395
261,1.0,0.2395534881342256,1.0,0.11060673374361385
262,1.0,0.32939423172939175,1.0,0.056405469280526366
263,1.0,0.286953891689415,1.0,0.06744091768045157
264,1.0,0.3113714039363027,1.0,0.07361832303704186
265,1.0,0.22972958711010638,1.0,0.08878633596697749
266,1.0,0.2699426577236852,1.0,0.09428005770731462
267,1.0,0.23456507514810931,1.0,0.09336875048278526
268,1.0,0.25788482889706676,1.0,0.08717151310257121
269,1.0,0.26399900546647515,1.0,0.14024072691519374
270,1.0,0.10330672675014807,1.0,0.07892383698126282
271,1.0,0.18880086106191607,1.0,0.07488325981814425
272,1.0,0.19404448763758686,1.0,0.12094458114258688
273,1.0,0.18694606374591138,1.0,0.17503703527416214
274,1.0,0.22399327934181623,1.0,0.29776495665323166
275,1.0,0.19552365151452678,1.0,0.26080356665232896
276,1.0,0.2325922969107438,1.0,0.29364741843101894
277,1.0,0.2006928039174215,1.0,0.2643216432620592
278,1.0,0.18950285148443635,1.0,0.26621627950364657
279,1.0,0.18627337446163383,1.0,0.25505090291730426
280,1.0,0.12885115172551642,1.0,0.24717235232600132
281,1.0,0.16925227156985423,1.0,0.32953881296297816
282,1.0,0.2012741794223155,1.0,0.2916736420081587
283,1.0,0.1868038915377377,1.0,0.24145930850077824
284,1.0,0.19480865780168555,1.0,0.21303173211736448
285,1.0,0.18821345698004155,1.0,0.2647715760976781
286,1.0,0.1920834750553413,1.0,0.2144848631134909
287,1.0,0.19187139001666464,1.0,0.16954455461198947
288,1.0,0.23723745662391726,1.0,0.16965672628782524
289,1.0,0.2194843307586204,1.0,0.13939080329653364
290,1.0,0.20200462195859736,1.0,0.19573684449822726
291,1.0,0.1860898912055038,1.0,0.12934299866590626
292,1.0,0.20632495454299815,1.0,0.10016113478080324
293,1.0,0.1980458532076893,1.0,0.15245537821926436
294,1.0,0.15316237090771057,1.0,0.21036888449523572
295,1.0,0.21897531424676975,1.0,0.1385814857780956
296,1.0,0.20453275636886725,1.0,0.17791864550389147
297,1.0,0.21391438483950675,1.0,0.12658498159057996
298,1.0,0.18634163825038852,1.0,0.22926721368921332
299,1.0,0.3090958337202183,1.0,0.15675321731252978
300,1.0,0.25416235545482513,1.0,0.10146988926311429
