tick,side,C_conn_rel,C_v3p1,ForceRatio,AttritionMomentum,cond_conn,cond_coh,cond_force,cond_attr,pressure,pressure_run_length,collapse_v2_shadow,collapse_event_v2
70,B,0.6900000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
71,A,0.6900000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
71,B,0.7000000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
72,A,0.7600000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
72,B,0.7000000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
73,A,0.7700000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
73,B,0.7500000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
74,A,0.7600000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
74,B,0.7600000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
75,A,0.7300000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
75,B,0.6900000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
76,A,0.7500000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
76,B,0.6900000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
77,A,0.6100000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
77,B,0.7800000000,0.9500000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
78,A,0.7000000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
78,B,0.7200000000,0.9500000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
79,A,0.7200000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
79,B,0.7500000000,0.9500000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
80,A,0.7100000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
80,B,0.7900000000,0.9500000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
81,A,0.7400000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
81,B,0.7500000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
82,A,0.7200000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
82,B,0.7900000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
83,A,0.7900000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
83,B,0.7900000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
84,A,0.6900000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
84,B,0.7400000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
85,A,0.7700000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
85,B,0.7700000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
86,A,0.7400000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
86,B,0.8000000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
87,A,0.8300000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
87,B,0.7500000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
88,A,0.7500000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
88,B,0.7900000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
89,A,0.7600000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
89,B,0.7600000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
90,A,0.7700000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
90,B,0.7500000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
91,A,0.7700000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
91,B,0.8300000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
92,A,0.7000000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
92,B,0.6700000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
93,A,0.8100000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
93,B,0.7300000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
94,A,0.7200000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
94,B,0.7800000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
95,A,0.7600000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
95,B,0.7200000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
96,A,0.8100000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
96,B,0.7800000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
97,A,0.7600000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
97,B,0.6900000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
98,A,0.7300000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
98,B,0.7900000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
99,A,0.5900000000,0.9200000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
99,B,0.8000000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
100,A,0.7200000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
100,B,0.8200000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
101,A,0.6700000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
101,B,0.8000000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
102,A,0.7400000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
102,B,0.7800000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
