seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_p95_enemy_collapse_signal_A,delta_p95_enemy_collapse_signal_B,delta_collapse_prediction_error,delta_ar_forward_p90_A,delta_ar_forward_p90_B,delta_wedge_ratio_p10_A,delta_wedge_ratio_p10_B,delta_split_separation_p90_A,delta_split_separation_p90_B,missing_cut_v2,missing_cut_v3_test,pocket_without_cut_v2,pocket_without_cut_v3_test,event_order_anomaly_v2,event_order_anomaly_v3_test,observable_runtime_difference
SP01,5,2,5,muller,-4.0,-2.0,-4.0,71.0,312.0,nan,-89.93580946478374,-99.56616052060737,-0.6349510383586262,-0.699017253735605,-0.6322747325909903,-0.7121321659895987,-0.30836112703343754,-0.5165511010836027,241.0,-0.11862477233160762,-0.021804302370961093,-0.27408881749224223,-0.00967705468657798,0.006220066722066875,0.029347778899158294,False,False,False,False,False,False,True
SP01,5,2,5,reinhard,-3.0,-2.0,-26.0,4.0,269.0,149.0,-92.20990873533246,-77.16346153846155,-0.7479471211507231,-0.8225166270415649,-0.6429105474419985,-0.6903512895903129,-0.3835287045576036,-0.4453708173777906,145.0,-0.11678893012401659,-0.14569811680872813,-0.18306413198833327,0.012133118183889513,0.0030359117940561564,0.042662884587053806,False,False,False,False,True,False,True
SP01,5,5,5,mittermeyer,-2.0,-2.0,-141.0,59.0,135.0,67.0,-73.53121189112078,-64.84848484848484,-0.7781960135467267,-0.8028926739892517,-0.51049181576398,-0.6238342725430431,-0.23287739623516335,-0.3478826681068936,8.0,-0.11739751516696106,-0.14506020696225042,-0.25764667290908083,0.004759031576931916,0.0007928753689530055,0.008963070187396838,False,False,False,False,True,False,True
SP01,5,5,5,muller,-3.0,-3.0,-3.0,71.0,235.0,229.0,-93.43367293664882,-85.30656284650229,-0.6530798894358983,-0.714859546308913,-0.6511013551706022,-0.5627573899428275,-0.42876550500038146,-0.19603193648599204,158.0,-0.1266451138331468,-0.033260137049749616,-0.2670515410574116,-0.02451380810347603,0.016294709386186712,0.030841321381476217,False,False,False,False,False,False,True
SP01,5,5,5,reinhard,-3.0,-3.0,-3.0,-1.0,173.0,71.0,-82.11921509456292,-48.484848484848484,-0.7490791801832642,-0.7264940786014347,-0.5608648607539821,-0.5547537390196141,-0.26620271426424946,-0.23186043414397717,72.0,-0.12552971813908131,-0.16367058555362557,-0.20639754049776782,0.012174554142268534,0.00041035379610332434,0.0430278902547474,False,False,False,False,False,False,True
SP01,5,8,5,mittermeyer,-2.0,-1.0,-6.0,12.0,58.0,55.0,-73.75126800568067,-68.13417190775681,-0.7718162305548588,-0.8095940719746872,-0.4978741990294128,-0.6274441997639799,-0.24849222417409833,-0.3376617356524789,43.0,-0.14762293680680383,-0.13319144510855274,-0.29697112889492283,-0.0012253037452023552,0.019277460820951164,-0.006387223831643363,False,False,False,False,False,False,True
SP01,5,8,5,muller,-3.0,-3.0,-11.0,30.0,282.0,172.0,-96.08833483271216,-88.98042239643576,-0.6985190795990738,-0.6982436091066592,-0.6292410346803368,-0.5279355426595982,-0.462511302402125,-0.2278119416320683,142.0,-0.14709486229351265,-0.030979534689220323,-0.3329832770618463,-0.004241993498132479,0.025563138306751387,0.03196900615109266,False,False,False,False,True,False,True
SP01,5,8,5,reinhard,-2.0,-2.0,-51.0,4.0,332.0,70.0,-89.22427698936852,-72.41379310344828,-0.7416947119583863,-0.8166629471273349,-0.6068988294077563,-0.6382069346653115,-0.3205325772712151,-0.4350515875670402,66.0,-0.1216350329306457,-0.16220626042923691,-0.2686587373308592,0.004517400470190558,0.016836790100131838,0.02229453272475279,False,False,False,False,True,False,True
SP01,8,2,5,mittermeyer,-3.0,-2.0,-3.0,-9.0,62.0,148.0,-64.54140573779758,-65.62837700359461,-0.7366228766227572,-0.659730517410248,-0.48492440888206706,-0.5512097116926167,-0.20508058389195982,-0.22400908592917124,71.0,-0.054794868960491794,-0.1300714107195251,-0.42399964528107614,-0.009943400458829132,0.016052204018025096,0.01721668239005547,False,False,False,False,False,False,True
SP01,8,2,5,muller,-3.0,-3.0,-3.0,60.0,332.0,nan,-94.02757176511648,-99.36305732484077,-0.6711547529332379,-0.6506949440549344,-0.6357621593595171,-0.7242084145511625,-0.457345889070255,-0.49743959688371636,272.0,-0.07230749262970448,-0.007832536157050374,-0.43168921118902237,0.004568453499322445,0.01301873333468917,0.024994220591592065,False,False,False,False,False,False,True
SP01,8,2,5,reinhard,-3.0,-4.0,-3.0,64.0,236.0,218.0,-88.4297520661157,-79.47362820558295,-0.7582140009733684,-0.7679473466706438,-0.6137124107185679,-0.6564950288118848,-0.2841397978674989,-0.4869699029392097,154.0,-0.0785455948491025,-0.13828210016522724,-0.37981988270906575,-0.018835911866837196,0.03169053209429795,0.03676413534888878,False,False,False,False,False,False,True
