runtime_decision_source_effective,semantic_connectivity_multiplier,cell_FR,cell_MB,cell_PD,runs,first_contact_tick_mean,cut_tick_mean,pocket_tick_mean,first_deep_pursuit_tick_A_mean,pct_ticks_deep_pursuit_A_mean,mean_enemy_collapse_signal_A_mean,A_v2_mean_mean,A_fragmentation_mean_mean,A_v3_mean_mean,A_c_conn_mean_mean,anomaly_count
v2,2.5,8,8,5,1,107.0,126.0,143.0,1.0,56.380510440835266,0.5768731051547824,0.30408346227694866,0.0,0.4598,0.4598,0
v2,3.0,2,2,5,1,112.0,131.0,136.0,1.0,61.08695652173913,0.6286276108778535,0.13582174314787343,0.0,0.20629999999999987,0.20629999999999987,0
v2,3.0,2,5,5,1,111.0,130.0,136.0,1.0,45.40942928039702,0.5962414898124327,0.15172621124165298,0.0,0.1901999999999999,0.1901999999999999,0
v2,3.0,2,8,5,1,112.0,131.0,136.0,1.0,53.79746835443038,0.5871673251059432,0.15600378844629986,0.0,0.14469999999999997,0.14469999999999997,0
v2,3.0,5,2,5,1,109.0,128.0,136.0,1.0,83.67768595041322,0.6749934759215119,0.2727321431300928,0.0,0.3375,0.3375,0
v2,3.0,5,5,5,1,109.0,128.0,187.0,1.0,66.38115631691649,0.6242757946238014,0.28923492809893075,0.0,0.29980000000000007,0.29980000000000007,0
v2,3.0,5,8,5,1,109.0,128.0,140.0,1.0,77.70114942528735,0.649690051428024,0.32394939807042633,0.0,0.27,0.27,0
v2,3.0,8,2,5,1,107.0,126.0,170.0,1.0,73.17073170731707,0.6501674057275239,0.3177182610037423,0.0,0.40780000000000016,0.40780000000000016,0
v2,3.0,8,5,5,1,107.0,126.0,135.0,1.0,64.5083932853717,0.6402062156838477,0.30457225709732744,0.0,0.41229999999999983,0.41229999999999983,0
v2,3.0,8,8,5,1,107.0,126.0,143.0,1.0,77.32426303854875,0.6545251616568795,0.30408346227694866,0.0,0.4598,0.4598,0
v3_test,1.0,2,2,5,1,111.0,130.0,136.0,1.0,69.61722488038278,0.6818113489022298,0.022347672138793576,0.8270999999999996,0.17289999999999994,0.17289999999999994,0
v3_test,1.0,2,5,5,1,111.0,130.0,136.0,1.0,75.85301837270342,0.694539340792881,0.01907808134394608,0.8533999999999999,0.14660000000000006,0.14660000000000006,0
v3_test,1.0,2,8,5,1,111.0,130.0,137.0,1.0,62.5,0.6415470691287196,0.02450576832121814,0.8282,0.17180000000000004,0.17180000000000004,0
v3_test,1.0,5,2,5,1,109.0,201.0,136.0,1.0,65.95238095238095,0.6575039982984411,0.04354392712532554,0.7716999999999995,0.22829999999999992,0.22829999999999992,1
v3_test,1.0,5,5,5,1,109.0,128.0,190.0,1.0,84.01486988847584,0.7059219520131641,0.04590745206302449,0.7857999999999999,0.21419999999999997,0.21419999999999997,0
v3_test,1.0,5,8,5,1,109.0,128.0,136.0,1.0,81.42857142857143,0.728114013044546,0.0494702548583812,0.7792,0.22079999999999994,0.22079999999999994,0
v3_test,1.0,8,2,5,1,107.0,126.0,150.0,1.0,69.50354609929079,0.6670686093472419,0.09469480548224085,0.6822000000000001,0.3178,0.3178,0
v3_test,1.0,8,5,5,1,107.0,126.0,144.0,1.0,88.78048780487805,0.7335524286080934,0.09548582357410718,0.6794,0.32059999999999994,0.32059999999999994,0
v3_test,1.0,8,8,5,1,107.0,126.0,135.0,1.0,69.47791164658635,0.6435909501516911,0.11647414063518507,0.6387000000000003,0.3612999999999998,0.3612999999999998,0
v3_test,1.1,2,2,5,1,110.0,129.0,136.0,403.0,5.679862306368331,0.265458262670966,0.023486866861826054,0.8255000000000001,0.9790999999999996,0.9790999999999996,0
v3_test,1.1,2,5,5,1,110.0,129.0,136.0,240.0,4.57516339869281,0.267945482101953,0.02488435702795786,0.826,0.8982000000000001,0.8982000000000001,0
