seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,runtime_decision_source_requested_v2,runtime_decision_source_effective_v2,runtime_decision_source_requested_v3_test,runtime_decision_source_effective_v3_test,effective_source_match_pair,cohesion_gap_mean_abs_A,cohesion_gap_mean_abs_B,cohesion_gap_max_abs_A,cohesion_gap_max_abs_B,cohesion_gap_differs_A,cohesion_gap_differs_B,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,observable_runtime_difference
SP01,2,8,8,kircheis,v2,v2,v3_test,v3_test,True,0.11387851151771765,0.1994811441647442,0.686152537100199,0.6232118030175346,True,True,0.0,0.0,-0.23800587606072665,-0.14936628246300998,1.044806108097248,-3.8864490944057053,True
SP01,2,8,8,mittermeyer,v2,v2,v3_test,v3_test,True,0.1353406395187458,0.17218837639071818,0.686152537100199,0.6823912729411022,True,True,0.0,0.0,-0.16162944300399507,-0.11113303230228988,1.3270838564480272,-0.228310502283108,True
SP01,2,8,8,muller,v2,v2,v3_test,v3_test,True,0.11070782570831987,0.26477198430534155,0.686152537100199,0.7124978198416405,True,True,0.0,0.0,-0.2800196030976928,-0.13447457968308774,-1.7996928444689644,-6.976605484068173,True
SP01,2,8,8,reinhard,v2,v2,v3_test,v3_test,True,0.1318878010805421,0.22291244772521665,0.686152537100199,0.9974636662251579,True,True,0.0,0.0,-0.17480891725622538,-0.12053578102096951,1.3620229614942048,-0.8714596949891131,True
SP01,2,8,8,reuenthal,v2,v2,v3_test,v3_test,True,0.19728185970866213,0.16237904372443165,0.686152537100199,0.8772850668360394,True,True,0.0,0.0,-0.17563103923031664,-0.11357605574073615,-0.9671179883945911,-5.656618628599446,True
SP01,5,2,2,bittenfeld,v2,v2,v3_test,v3_test,True,0.22077223757355052,0.2330353021436112,0.7459157894696694,0.7476585861616846,True,True,0.0,0.0,-0.21792708607783362,-0.26691298944955544,-58.18359809549237,-0.6060606060606091,True
SP01,5,2,2,kircheis,v2,v2,v3_test,v3_test,True,0.19674998002997113,0.21641047577162595,0.7459157894696694,0.847426394072992,True,True,0.0,0.0,-0.2397550169801279,-0.20639955873980187,-56.022460816981365,-18.69369369369369,True
SP01,5,2,2,mittermeyer,v2,v2,v3_test,v3_test,True,0.20696818815884088,0.1467843069469498,0.7459157894696694,0.6632753942991081,True,True,0.0,0.0,-0.15045033875866354,-0.25741865923384266,-74.13827162267485,-4.204753199268737,True
SP01,5,2,2,muller,v2,v2,v3_test,v3_test,True,0.1889755652515815,0.25727446549412547,0.7459157894696694,0.9353924363456018,True,True,0.0,0.0,-0.4022338520652322,-0.23437513581115188,-53.1072627474449,-46.0343360481752,True
SP01,5,2,2,reinhard,v2,v2,v3_test,v3_test,True,0.21922098633930917,0.197329022806162,0.7459157894696694,0.9988679477820175,True,True,0.0,0.0,-0.20244310751382144,-0.22371244012337987,-46.34999703492854,-4.305283757338557,True
SP01,5,2,2,reuenthal,v2,v2,v3_test,v3_test,True,0.25099205585126766,0.1253648907061854,0.7459157894696694,0.5552289885036346,True,True,0.0,0.0,-0.1527996409089315,-0.27886208387184674,-73.55793189368771,-59.71864617940199,True
