seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_p95_enemy_collapse_signal_A,delta_p95_enemy_collapse_signal_B,delta_collapse_prediction_error,delta_ar_forward_p90_A,delta_ar_forward_p90_B,delta_wedge_ratio_p10_A,delta_wedge_ratio_p10_B,delta_split_separation_p90_A,delta_split_separation_p90_B,missing_cut_v2,missing_cut_v3_test,pocket_without_cut_v2,pocket_without_cut_v3_test,event_order_anomaly_v2,event_order_anomaly_v3_test,observable_runtime_difference
SP01,2,8,2,kircheis,0.0,0.0,0.0,0.0,0.0,0.0,-38.209702185740554,-2.0283975659229156,-0.21395032968828637,-0.26168636039618953,-0.2380020189523121,-0.11941267223996821,-0.07644205688553429,-0.02922002943590707,0.0,-0.0005736221019536636,-0.14571988821239934,-0.1064573485687621,-0.028199076481387197,0.004345719309197582,0.044406573634242275,False,False,False,False,False,False,True
SP01,2,8,2,mittermeyer,-1.0,0.0,17.0,0.0,0.0,0.0,-56.26241416491686,-0.7462686567164241,-0.33558482841707377,-0.19556453593037182,-0.15118966478192675,-0.1315486209685065,-0.030605721386952722,-0.03867875087420625,0.0,-0.02017630999740483,-0.08009093702483261,-0.0938734014689333,-0.019256215093644835,0.004986439195815651,7.8847759779066e-05,False,False,False,False,False,True,True
SP01,2,8,2,muller,-1.0,0.0,-1.0,3.0,0.0,0.0,-40.734376988672516,-9.484536082474222,-0.1689930934092573,-0.349194230195054,-0.29564313964447075,-0.1255114497998524,-0.10937215531532651,-0.038496617922178844,-3.0,-0.0036197118387422123,-0.20212982317420813,-0.06297888814391062,-0.026550653490478027,0.0038101478893057816,0.020943086204569195,False,False,False,False,False,False,True
SP01,2,8,2,reinhard,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-34.73194833488951,-0.42016806722689637,-0.21164372757613348,-0.17145257636667555,-0.20385925776850722,-0.11503989520177571,-0.03670830387718449,-0.0262381820867712,1.0,0.00022344187280598504,-0.09496451779978621,-0.15163544494146297,-0.011605430043603926,-0.0025825489641182475,0.0010508369878505786,False,False,False,False,False,False,True
SP01,2,8,2,reuenthal,-1.0,0.0,-1.0,0.0,0.0,0.0,-65.09355553211688,-7.904651408079317,-0.38349100779116263,-0.35762569931955096,-0.1517453654498212,-0.11790136109680671,-0.030955004719514734,-0.04249263433129946,0.0,-0.018814770373112744,-0.032794764853766534,-0.08529676529694064,-0.01379451471837434,0.0030119025991550696,-0.003908457217757455,False,False,False,False,False,False,True
SP01,2,8,5,bittenfeld,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-33.31902103907257,-0.24330900243309372,-0.4201957936734342,-0.1149635922156318,-0.20729652152676603,-0.10226555588131891,-0.05331377969405904,-0.04046002511125002,1.0,-0.020484609058323056,-0.09068247509010963,0.04194357718820507,0.012312861954138499,-0.00484952006989281,-0.0036642351912445914,False,False,False,False,False,False,True
SP01,2,8,5,kircheis,-1.0,0.0,-1.0,0.0,0.0,0.0,-35.46810924003142,-2.0547945205479436,-0.4308083866960329,-0.2024513024735859,-0.22746208962590664,-0.09249653693566473,-0.04011241923068698,-0.030181929869137702,0.0,-0.017913870384603126,-0.13883566595204488,-0.01736811572153929,-0.006646187082753219,-0.000381065040079287,0.023716954919586808,False,False,False,False,False,False,True
SP01,2,8,5,mittermeyer,0.0,0.0,0.0,1.0,0.0,0.0,-15.09111382300749,-0.4728132387706836,-0.36857066956471946,-0.17197336074404712,-0.17131150072462975,-0.11531632758960031,-0.02942443949983098,-0.04078367605125699,-1.0,-0.01800112999066572,-0.06245977862624574,0.06038353516675077,-0.0030642841958609113,-0.002136581463250131,-4.796577340471231e-05,False,False,False,False,False,False,True
SP01,2,8,5,muller,-1.0,-1.0,-1.0,0.0,0.0,0.0,-57.332454984628896,-2.9626701800614796,-0.490554676613596,-0.2819381298905024,-0.279464525602207,-0.1009801636323453,-0.07957105066214332,-0.029996658033944246,0.0,-0.0057320653829102675,-0.18255436595383845,-0.09348224406268024,-0.004919967636654254,-0.005778231967384473,0.021273730873488494,False,False,False,False,False,False,True
SP01,2,8,5,reinhard,-1.0,0.0,-1.0,0.0,0.0,0.0,-37.04648526077098,0.9049680478251929,-0.433131128580579,-0.13107581121682677,-0.2450757553739331,-0.0824809503487709,-0.038327950301777824,-0.0426516660158085,0.0,-0.030811098420442384,-0.1115368843729212,0.06487535207733375,0.015190276877252273,-0.0025615277865620456,-0.0085920854109105,False,False,False,False,False,False,True
