origin_a,origin_b,aspect_ratio,fleet_size,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
50.0,150.0,2.0,50,63,0.18763236596206126,0.17726640026959897,0.32743352816547805,0.006757672220432986,0.006289843623933067,0.06457866222273556,35,33,4.0,120
50.0,150.0,2.0,75,61,0.19196666739629775,0.43601089225166106,0.25243403549383925,0.004332497673168747,0.0020530523079477616,0.06583013060578448,52,51,1.3333333333333335,120
50.0,150.0,2.0,100,60,0.14087349343498495,0.15201656738282832,0.4753093936407596,0.00752355722037134,0.002648113338427694,0.08200975365957072,69,71,2.0,120
50.0,150.0,2.0,125,58,0.11708377234596748,0.09997963421272456,0.46531978789354006,0.010486647978960699,0.004438409825806254,0.12602016232415508,83,84,0.8,120
50.0,150.0,2.0,150,58,0.16838192894619833,0.17019297254770852,0.263874095505255,0.004799653900967851,0.002401928961243473,0.07992328887069824,106,105,0.6666666666666667,120
50.0,150.0,2.5,50,62,0.16429550239805668,0.3548957646841427,0.41877117737045555,0.007510044051758754,0.00291163953168279,0.09691245675519278,35,33,4.0,120
50.0,150.0,2.5,75,61,0.15818295306434385,0.20342895811405468,0.6172622697068676,0.006185664384384608,0.0030014625094612734,0.050116323730331265,51,49,2.666666666666667,120
50.0,150.0,2.5,100,60,0.04972822049214859,0.07332472104934819,0.28884241133153415,0.004075651811701345,0.0020587399363664587,0.03935713016129162,70,73,3.0,120
50.0,150.0,2.5,125,59,0.08163294429624553,0.15109901207548798,0.3824570846667108,0.004380989673596917,0.001970220527196242,0.09710277732131682,83,82,0.8,120
50.0,150.0,2.5,150,58,0.1361544758624144,0.15826433597642817,0.380687003298372,0.004224389055270407,0.0018690475839528292,0.07682306053407507,104,105,0.6666666666666667,120
50.0,150.0,3.0,50,62,0.16429550239805668,0.3548957646841427,0.41877117737045555,0.007510044051758754,0.00291163953168279,0.09691245675519278,35,33,4.0,120
50.0,150.0,3.0,75,61,0.15818295306434385,0.20342895811405468,0.6172622697068676,0.006185664384384608,0.0030014625094612734,0.050116323730331265,51,49,2.666666666666667,120
50.0,150.0,3.0,100,60,0.13960261170065486,0.13531344559947478,0.37552389632531374,0.005553259589052796,0.0021037527487086267,0.02313835759048642,68,71,3.0,120
50.0,150.0,3.0,125,60,0.10452052930869704,0.07567038690855461,0.4334839285146837,0.0034088673509395165,0.0021084478812127463,0.03523367522461716,86,87,0.8,120
50.0,150.0,3.0,150,60,0.11412790790584852,0.10956831975029165,0.45437817204880343,0.005547129212528802,0.002074422650687685,0.09188828918061195,102,101,0.6666666666666667,120
70.0,130.0,1.0,50,35,0.2135537919913153,0.2884201050601509,0.4350094019354453,0.009490972777280782,0.007050634295952142,0.21850022223548307,27,27,0.0,120
70.0,130.0,1.0,75,32,0.2102300903995314,0.24767010011814639,0.43296402613631696,0.004188331197738898,0.04000717295238625,0.1628924194357053,39,39,0.0,120
70.0,130.0,1.0,100,31,0.21037063970849632,0.14407089746657614,0.36433653659263554,0.0036282828868041224,0.01109350012590957,0.10521439447904482,53,52,1.0,120
70.0,130.0,1.0,125,30,0.12282436479237294,0.27100384750060674,0.30896095134431406,0.006865574231943207,0.01096776245135936,0.1352570077323285,67,67,0.0,120
70.0,130.0,1.0,150,29,0.11592561270297899,0.3419847852689024,0.32802291132642125,0.005411327954393853,0.016611799661192583,0.13842709406879372,84,83,0.6666666666666667,120
70.0,130.0,1.5,50,34,0.07028149555553811,0.4594147241097935,0.6584853753268721,0.00692591061093457,0.04706508642611952,0.22474138989754647,25,26,2.0,120
70.0,130.0,1.5,75,33,0.16107243601487423,0.2056105158350215,0.47997021148340224,0.006455771764685799,0.009090710442685727,0.16129491097822848,38,40,2.666666666666667,120
