origin_a,origin_b,aspect_ratio,fleet_size,min_separation,attack_range,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
10.0,190.0,1.5,150,1.0,7.0,118,0.12577172519902152,0.2912100340823395,0.3120852042286204,0.005421924048552664,0.0022827402191263704,0.00216372635457133,150,150,0.0,120
10.0,190.0,1.5,150,2.0,3.0,115,0.09470839800709896,0.12050630571393912,0.2522459819153716,0.005043989104442892,0.0022519185843851456,0.0023376090615296816,150,150,0.0,120
10.0,190.0,1.5,150,2.0,5.0,114,0.09470839800709896,0.12050630571393912,0.2522459819153716,0.005043989104442892,0.0022519185843851456,0.0023376090615296816,150,150,0.0,120
10.0,190.0,1.5,150,2.0,7.0,113,0.09470839800709896,0.12050630571393912,0.24530757812535892,0.005043989104442892,0.0022519185843851456,0.002358320615796449,149,149,0.0,120
10.0,190.0,1.5,150,3.0,3.0,113,0.1605447015740369,0.10296501909079034,0.1172605983040955,0.0054004493867057055,0.0029751630581371117,0.002794672472364554,150,150,0.0,120
10.0,190.0,1.5,150,3.0,5.0,111,0.1605447015740369,0.10296501909079034,0.1172605983040955,0.0054004493867057055,0.0029751630581371117,0.002794672472364554,150,150,0.0,120
10.0,190.0,1.5,150,3.0,7.0,110,0.1605447015740369,0.10296501909079034,0.11786543292789625,0.0054004493867057055,0.0029751630581371117,0.0028739765608515257,149,148,0.6666666666666667,120
10.0,190.0,2.0,50,1.0,3.0,,0.21174641728805532,0.3501443817875377,0.5520332725387973,0.004747791961605239,0.0027991578921614615,0.0028885386194393665,50,50,0.0,120
10.0,190.0,2.0,50,1.0,5.0,,0.21174641728805532,0.3501443817875377,0.5520332725387973,0.004747791961605239,0.0027991578921614615,0.0028885386194393665,50,50,0.0,120
10.0,190.0,2.0,50,1.0,7.0,,0.21174641728805532,0.3501443817875377,0.5520332725387973,0.004747791961605239,0.0027991578921614615,0.0028885386194393665,50,50,0.0,120
10.0,190.0,2.0,50,2.0,3.0,120,0.17217668821219306,0.16550429881983283,0.18781105616725716,0.007979429760159416,0.0044242176234263195,0.005151782753191058,50,50,0.0,120
10.0,190.0,2.0,50,2.0,5.0,119,0.17217668821219306,0.16550429881983283,0.18781105616725716,0.007979429760159416,0.0044242176234263195,0.005151782753191058,50,50,0.0,120
10.0,190.0,2.0,50,2.0,7.0,118,0.17217668821219306,0.16550429881983283,0.18781105616725716,0.007979429760159416,0.0044242176234263195,0.005151782753191058,50,50,0.0,120
10.0,190.0,2.0,50,3.0,3.0,118,0.04610210086811661,0.12563001755470718,0.2507980740302853,0.007209595941808436,0.0027971312049542103,0.0028405681830414673,50,50,0.0,120
10.0,190.0,2.0,50,3.0,5.0,117,0.04610210086811661,0.12563001755470718,0.2507980740302853,0.007209595941808436,0.0027971312049542103,0.0028405681830414673,50,50,0.0,120
10.0,190.0,2.0,50,3.0,7.0,116,0.04610210086811661,0.12563001755470718,0.2507980740302853,0.007209595941808436,0.0027971312049542103,0.0028405681830414673,50,50,0.0,120
10.0,190.0,2.0,75,1.0,3.0,,0.24810247924367937,0.40517769216525984,0.4900597646913669,0.005464569594290463,0.0047501171402773105,0.0017907779748417502,75,75,0.0,120
