movement_model,cell_FR,cell_MB,cell_PD,n_runs,win_rate_A,mean_survivors_A,median_end_tick,first_contact_tick_mean,cut_exists_rate,pocket_exists_rate,cut_tick_p50,pocket_tick_p50,precontact_ar_p90_A_mean,precontact_wedge_p10_A_mean,precontact_split_p90_A_mean,precontact_persistent_outlier_p90_mean,precontact_max_persistence_max_mean,mirror_ar_gap_mean,mirror_wedge_gap_mean,jitter_ar_A_mean,jitter_wedge_A_mean,runtime_cap_hit_count
v3a,5,5,5,6,0.6666666666666666,11.5,457.5,111.0,1.0,1.0,131.5,136.0,2.20254383501627,1.096615395577071,1.718051263405972,0.0,0.0,0.08237276478473003,0.26029758876891235,0.009520871469109881,0.013670806147684301,0
v3a,5,5,8,6,0.6666666666666666,10.333333333333334,469.5,111.16666666666667,1.0,1.0,138.5,136.0,2.2042281768493144,1.0621902260720597,1.7175339995719838,0.0,0.0,0.07903161471706333,0.21873081743391654,0.00959345185501904,0.014911801277647609,0
v3a,5,8,2,6,0.0,0.0,443.0,109.83333333333333,1.0,1.0,129.0,136.5,2.1297035910433384,1.0310659022809685,1.714106429978381,0.0,0.0,0.03188814237526194,0.19132999748800894,0.012718370073543704,0.01889432051056879,0
v3a,5,8,5,6,0.5,6.5,487.0,110.66666666666667,1.0,1.0,144.5,136.0,2.1938024609191076,1.1096998592816991,1.7150717857937607,0.0,0.0,0.07862659126251807,0.26310808877056946,0.011342518756948604,0.016278653708388102,0
v3a,5,8,8,6,0.5,5.333333333333333,467.0,110.83333333333333,1.0,1.0,145.5,136.0,2.19076465695699,1.1043493351820917,1.7154533140806665,0.0,0.0,0.07564020509644154,0.2612394904197546,0.011101442500057929,0.017632572709755743,0
v3a,8,2,2,6,0.3333333333333333,3.5,473.0,108.33333333333333,1.0,1.0,127.5,136.0,2.0241155223302387,0.7960606439165095,1.7255274993229557,0.0,0.0,0.10509552777244664,0.08416793218333285,0.015508331449504401,0.016969030002516945,0
v3a,8,2,5,6,0.3333333333333333,6.5,440.0,109.16666666666667,1.0,1.0,128.0,136.0,2.1074986931248616,1.0815696641863566,1.7130698450348676,0.0,0.0,0.044646890158600495,0.24063431005056493,0.011461167759426972,0.018492219202122923,0
v3a,8,2,8,6,0.5,7.666666666666667,464.0,109.16666666666667,1.0,1.0,128.0,136.0,2.124101712618694,1.1107403319048161,1.714011162597138,0.0,0.0,0.05205516251245627,0.26503918051770714,0.01142478698453365,0.018503686971538685,0
v3a,8,5,2,6,0.16666666666666666,0.16666666666666666,467.5,108.0,1.0,1.0,126.5,137.0,2.0163092867113526,0.7646111765324471,1.7314923205933173,0.0,4.0,0.1114827923146025,0.07510667293616774,0.016718330179653216,0.019455278606711007,0
v3a,8,5,5,6,0.3333333333333333,2.1666666666666665,487.0,109.16666666666667,1.0,1.0,128.0,136.0,2.1162400468842035,0.9033237128616514,1.7161085371920086,0.0,0.0,0.042411009115932576,0.08919183796097431,0.01301594620632065,0.018158841810032123,0
v3a,8,5,8,6,0.0,0.0,497.5,109.16666666666667,1.0,1.0,128.0,136.0,2.1222681050178265,0.9271002104586676,1.7138352108115873,0.0,0.0,0.04628152701374429,0.08958598505858852,0.01251326753788194,0.018960935912856882,0
