cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_end_tick,delta_first_contact_tick,delta_cut_tick,delta_pocket_tick,delta_ar_p90_A,delta_wedge_p10_A,delta_split_p90_A,delta_persistent_outlier_p90,delta_max_persistence,delta_mirror_ar_gap,delta_mirror_wedge_gap,delta_jitter_ar_A,delta_jitter_wedge_A,cut_exists_v1,cut_exists_v3a,pocket_exists_v1,pocket_exists_v3a
2,5,5,reinhard,-39.0,2.0,2.0,-43.0,0.00596055405771212,-0.07171494975974024,-0.00242856521289303,0.0,-15.0,-0.18512744566612493,-0.07081938285120037,-0.0038355873737789268,-0.0013816023520194561,True,True,True,True
2,5,5,reuenthal,6.0,1.0,0.0,0.0,0.009872845474716563,-0.04892762516774196,0.001737604272996851,0.0,0.0,-0.033019533648000365,-0.06590590772241711,-0.002723204016429992,-0.011877968201905058,True,True,True,True
2,5,8,bittenfeld,-39.0,3.0,3.0,-1.0,0.005538205684678665,0.01303515303988112,0.004296470229290028,-1.0,-30.0,-0.18780410173795947,-0.013774686814974069,-0.0036865099580866744,-0.002149715340849248,True,True,True,True
2,5,8,kircheis,12.0,2.0,2.0,-41.0,0.007235853398564807,-0.07646145032983953,0.003314494318928718,-2.1000000000000085,-41.0,-0.15324377462218797,-0.10077862364528711,-0.004030695462419627,-0.006557477299031109,True,True,True,True
2,5,8,mittermeyer,-71.0,1.0,1.0,0.0,0.016344836994068412,-0.0040490017894081465,0.0039060762305105357,0.0,0.0,-0.14570220043252902,-0.021060012836091713,-0.003057017798457855,-0.012083925810722379,True,True,True,True
2,5,8,muller,-66.0,2.0,2.0,-10.0,0.019115219419893137,-0.030888575800136042,0.0022481315436388982,-2.0,-45.0,0.09249914127875769,-0.031948950323480996,-0.0032528575920077567,-0.0031221124762618683,True,True,True,True
2,5,8,reinhard,33.0,3.0,3.0,1.0,0.006712070205407095,-0.05501653840776677,0.005287664840891937,0.0,-20.0,-0.19968171083929276,-0.055712821414831026,-0.004633230123871622,-0.0014936160438047963,True,True,True,True
2,5,8,reuenthal,7.0,0.0,0.0,-1.0,-0.0017774077250800602,0.027524377324325888,0.004828323485982056,0.0,0.0,-0.03516615655472721,0.037460435236801204,-0.003000981273322055,0.001340351421304356,True,True,True,True
2,8,2,bittenfeld,-96.0,3.0,3.0,-1.0,0.06756029607324887,-0.00652549423711779,0.005792970877837034,-2.0,-31.0,-0.0034601052572056368,-0.01291403836969418,-0.007445047596839442,-0.01479084583071686,True,True,True,True
2,8,2,kircheis,-58.0,2.0,2.0,-50.0,0.056844584096259254,0.10161043218654409,0.0010443747403734438,-2.0,-42.0,-0.05613900271810279,0.10081576978225104,-0.007688894732258046,-0.010193790250259894,True,True,True,True
