tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
114,A,100,9972.906507006419,9973,0.16,0.0776233491039372,0.4299999999999995,0,0,1,27,
114,B,100,9978.649981725703,9979,0.04,0.008132257212971727,1.0,0,0,1,27,
115,A,100,9945.89506093621,9946,0.14,0.061519021361755244,0.4249999999999995,0,0,1,43,
115,B,100,9960.456230029438,9961,0.06,0.005402741905508934,1.0,0,0,1,43,
116,A,100,9908.463375491894,9909,0.11,0.0537159373211592,0.4199999999999995,0,0,1,60,
116,B,100,9935.894917624246,9936,0.15,0.008048459974461242,1.0,0,0,1,60,
117,A,100,9859.236421119316,9860,0.23,0.040572783769673104,0.4149999999999995,0,0,1,75,
117,B,100,9908.0329306538,9909,0.07,0.02002450221382479,1.0,0,0,1,75,
118,A,100,9798.545508966672,9799,0.19,0.08502715204909406,0.4099999999999995,0,0,1,90,
118,B,100,9876.412562534995,9877,0.14,0.009051969701286744,1.0,0,0,1,90,
119,A,100,9729.849182781369,9730,0.16,0.06984370661284856,0.40499999999999947,0,0,1,108,
119,B,100,9836.034394338549,9837,0.2,0.01857385660032973,1.0,0,0,1,108,
120,A,99,9658.262982793745,9659,0.20202020202020202,0.058089822383478706,0.39999999999999947,0,0,1,112,FirstKill
120,B,100,9794.089798328201,9795,0.24,0.027544950536483648,1.0,0,0,1,112,FirstKill
121,A,99,9584.269329291947,9585,0.41414141414141414,0.07671351278852767,0.39499999999999946,0,0,1,113,
121,B,99,9757.698118838147,9758,0.13131313131313133,0.033164089198877145,1.0,0,0,1,113,
122,A,98,9524.294259839744,9525,0.37755102040816324,0.16048886494201509,0.38999999999999946,0,0,1,111,
122,B,99,9716.287884219828,9717,0.21212121212121213,0.01755074969153858,1.0,0,0,1,111,
123,A,98,9458.831081100425,9459,0.3163265306122449,0.1423615862525478,0.38499999999999945,0,0,1,105,
123,B,99,9675.871395608357,9676,0.1717171717171717,0.028800830087019724,1.0,0,0,1,105,
124,A,97,9397.486142220545,9398,0.4742268041237113,0.12122551712445051,0.37999999999999945,0,0,1,111,
124,B,99,9633.185168837872,9634,0.20202020202020202,0.023437728537221703,1.0,0,0,1,111,
125,A,96,9332.413261182119,9333,0.28125,0.19568305470546,0.37499999999999944,0,0,1,112,
125,B,98,9599.359621720605,9600,0.12244897959183673,0.028056716717018926,1.0,0,0,1,112,
126,A,95,9284.163055471796,9285,0.37894736842105264,0.12088078154527038,0.36999999999999944,0,0,1,101,
126,B,98,9557.698432143496,9558,0.12244897959183673,0.017227044713394202,1.0,0,0,1,101,
127,A,95,9232.98920378402,9233,0.45263157894736844,0.17037546582050656,0.36499999999999944,0,0,1,93,
127,B,98,9516.520659109567,9517,0.20408163265306123,0.01728777981715912,1.0,0,0,1,93,
128,A,95,9177.401495965356,9178,0.43157894736842106,0.2111857478189776,0.35999999999999943,0,0,1,101,
128,B,97,9488.136531789016,9489,0.2268041237113402,0.02908719910280022,1.0,0,0,1,101,
129,A,95,9126.968606254428,9127,0.3894736842105263,0.2005676773895222,0.3549999999999994,0,0,1,90,
129,B,97,9448.541457869524,9449,0.1134020618556701,0.030776748130100895,1.0,0,0,1,90,
130,A,93,9085.229647697442,9086,0.41935483870967744,0.1816925798614163,0.3499999999999994,0,0,1,95,
130,B,97,9405.233494058713,9406,0.27835051546391754,0.015714966807967357,1.0,0,0,1,95,
131,A,93,9031.672321238177,9032,0.1827956989247312,0.1979374568493254,0.3449999999999994,0,0,1,93,
