tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
82,A,100,10000.0,10000,0.72,0.09842015112559299,1.0,0,0,1,0,
82,B,100,10000.0,10000,0.79,0.09636431554541136,1.0,0,0,1,0,
83,A,100,10000.0,10000,0.79,0.09600066195834789,1.0,0,0,1,0,
83,B,100,10000.0,10000,0.79,0.10107467182960905,1.0,0,0,1,0,
84,A,100,10000.0,10000,0.69,0.10353420511461431,1.0,0,0,1,0,
84,B,100,10000.0,10000,0.74,0.10092644786030969,1.0,0,0,1,0,
85,A,100,10000.0,10000,0.77,0.09046118628193645,1.0,0,0,1,0,
85,B,100,10000.0,10000,0.77,0.09768117169578971,1.0,0,0,1,0,
86,A,100,10000.0,10000,0.74,0.09906342849559091,1.0,0,0,1,0,
86,B,100,10000.0,10000,0.8,0.09961771191183044,1.0,0,0,1,0,
87,A,100,10000.0,10000,0.83,0.09887103765606087,1.0,0,0,1,0,
87,B,100,10000.0,10000,0.75,0.10229245918890972,1.0,0,0,1,0,
88,A,100,10000.0,10000,0.75,0.10806821262246491,1.0,0,0,1,0,
88,B,100,10000.0,10000,0.79,0.09506947628832008,1.0,0,0,1,0,
89,A,100,10000.0,10000,0.76,0.09886115487497604,1.0,0,0,1,0,
89,B,100,10000.0,10000,0.76,0.09773972711455825,1.0,0,0,1,0,
90,A,100,10000.0,10000,0.77,0.0974049165091706,1.0,0,0,1,0,
90,B,100,10000.0,10000,0.75,0.09612292821680146,1.0,0,0,1,0,
91,A,100,10000.0,10000,0.77,0.09711139345413888,1.0,0,0,1,0,
91,B,100,10000.0,10000,0.83,0.09593852563358973,1.0,0,0,1,0,
92,A,100,10000.0,10000,0.7,0.09538964334867417,1.0,0,0,1,0,
92,B,100,10000.0,10000,0.67,0.10706323421084152,1.0,0,0,1,0,
93,A,100,10000.0,10000,0.81,0.08591661727174771,1.0,0,0,1,0,
93,B,100,10000.0,10000,0.73,0.08587605093445172,1.0,0,0,1,0,
94,A,100,10000.0,10000,0.72,0.09721530424258495,1.0,0,0,1,0,
94,B,100,10000.0,10000,0.78,0.09030188918296311,1.0,0,0,1,0,
95,A,100,10000.0,10000,0.76,0.086783886974383,1.0,0,0,1,0,
95,B,100,10000.0,10000,0.72,0.09519652620484331,1.0,0,0,1,0,
96,A,100,10000.0,10000,0.81,0.08994916520431073,1.0,0,0,1,0,
96,B,100,10000.0,10000,0.78,0.08671101433131567,1.0,0,0,1,0,
97,A,100,10000.0,10000,0.76,0.09549419590814323,1.0,0,0,1,0,
97,B,100,10000.0,10000,0.69,0.09250411074594989,1.0,0,0,1,0,
98,A,100,10000.0,10000,0.73,0.09042000483436208,1.0,0,0,1,0,
98,B,100,10000.0,10000,0.79,0.08161247780349201,1.0,0,0,1,0,
99,A,100,9998.900001526681,9999,0.59,0.08678840635827256,1.0,0,0,1,2,FirstContact
99,B,100,9998.900006877502,9999,0.8,0.09206683354052614,1.0,0,0,1,2,FirstContact
100,A,100,9997.800009658822,9998,0.72,0.06896697494855519,1.0,0,0,1,2,
100,B,100,9997.800028392967,9998,0.82,0.0906574136107019,1.0,0,0,1,2,
101,A,100,9996.69835722048,9997,0.67,0.08360558548241404,1.0,0,0,1,2,
101,B,100,9996.705146125387,9997,0.8,0.0939730346260712,1.0,0,0,1,2,
102,A,100,9994.59052739165,9995,0.74,0.07749071578363265,1.0,0,0,1,3,
102,B,100,9995.702135175448,9996,0.78,0.09387095476182772,1.0,0,0,1,3,
103,A,100,9992.569695221604,9993,0.65,0.08451536633413592,1.0,0,0,1,4,
103,B,100,9993.656450972203,9994,0.74,0.09150508782936673,1.0,0,0,1,4,
104,A,100,9989.57643451638,9990,0.84,0.07191698760949083,1.0,0,0,1,5,
104,B,100,9991.64629987989,9992,0.74,0.08859388163453119,1.0,0,0,1,5,
105,A,100,9985.401510019079,9986,0.7,0.09533049157597717,1.0,0,0,1,7,
105,B,100,9988.39678462019,9989,0.77,0.08759323397360907,1.0,0,0,1,7,
106,A,100,9980.231834238208,9981,0.79,0.07768377877003041,1.0,0,0,1,10,
106,B,100,9983.184273466712,9984,0.68,0.09354413566068653,1.0,0,0,1,10,
107,A,100,9974.231830908244,9975,0.78,0.08702647228164695,1.0,0,0,1,13,
107,B,100,9976.017940143614,9977,0.71,0.08365073398402934,1.0,0,0,1,13,
108,A,100,9967.308251429748,9968,0.69,0.08688193349980289,1.0,0,0,1,14,
108,B,100,9968.95359834044,9969,0.82,0.08356597470205929,1.0,0,0,1,14,
109,A,100,9958.356456554335,9959,0.73,0.077386075453587,1.0,0,0,1,18,
109,B,100,9959.755917373046,9960,0.69,0.09515762538688288,1.0,0,0,1,18,
110,A,100,9948.352097944971,9949,0.72,0.0830861250044147,1.0,0,0,1,21,
110,B,100,9948.491441414339,9949,0.77,0.07870412483110312,1.0,0,0,1,21,
111,A,100,9937.819574521896,9938,0.73,0.07969998889959062,1.0,0,0,1,23,
111,B,100,9936.635593415038,9937,0.86,0.08592352326463859,1.0,0,0,1,23,
112,A,100,9924.059181108956,9925,0.76,0.08264677878916649,1.0,0,0,1,29,
112,B,100,9921.7148383153,9922,0.82,0.1011992397246847,1.0,0,0,1,29,
113,A,100,9906.228363983912,9907,0.68,0.08689912123884425,1.0,0,0,1,34,
113,B,100,9905.565639964825,9906,0.81,0.09679844897167222,1.0,0,0,1,34,
114,A,100,9881.000087638722,9882,0.78,0.07805405807461474,1.0,0,0,1,47,
114,B,100,9883.384386272402,9884,0.74,0.10030573509207619,1.0,0,0,1,47,
115,A,100,9852.018516858074,9853,0.74,0.08738143270118937,1.0,0,0,1,60,
115,B,100,9852.62684766001,9853,0.75,0.09163321564733284,1.0,0,0,1,60,
116,A,99,9835.687127469946,9836,0.6262626262626263,0.08527891914790942,1.0,0,0,1,69,FirstKill
116,B,99,9826.366808265255,9827,0.7575757575757576,0.09226451216335418,1.0,0,0,1,69,FirstKill
117,A,99,9818.698554650973,9819,0.6666666666666666,0.08450456022165809,1.0,0,0,1,52,
117,B,99,9790.901191025607,9791,0.6666666666666666,0.10713929560953295,1.0,0,0,1,52,
118,A,99,9794.956821509271,9795,0.7878787878787878,0.0932302534367363,1.0,0,0,1,61,
118,B,99,9752.834876832527,9753,0.6868686868686869,0.09648456002923078,1.0,0,0,1,61,
119,A,99,9768.01216813384,9769,0.696969696969697,0.10652021132300993,1.0,0,0,1,73,
119,B,99,9705.851570489334,9706,0.7575757575757576,0.09584705857225573,1.0,0,0,1,73,
120,A,99,9741.720532121477,9742,0.6464646464646465,0.097983782451882,1.0,0,0,1,81,
120,B,99,9649.425392512041,9650,0.8080808080808081,0.10221323219964218,1.0,0,0,1,81,
121,A,98,9722.416168355567,9723,0.673469387755102,0.09941114916756277,1.0,0,0,1,78,
121,B,98,9617.507078037615,9618,0.7857142857142857,0.10976457260146755,1.0,0,0,1,78,
122,A,98,9693.941126959107,9694,0.6632653061224489,0.11817694652962474,1.0,0,0,1,64,
122,B,97,9601.309748594556,9602,0.7010309278350515,0.13249647652918395,1.0,0,0,1,64,
123,A,98,9655.349218075993,9656,0.7142857142857143,0.11705931907228517,1.0,0,0,1,75,
123,B,97,9562.55133985643,9563,0.7319587628865979,0.1303389672268669,1.0,0,0,1,75,
124,A,98,9610.965507619738,9611,0.7551020408163265,0.12668847879888667,1.0,0,0,1,89,
124,B,97,9515.296926040686,9516,0.7525773195876289,0.13751849325423282,1.0,0,0,1,89,
125,A,98,9562.010979973933,9563,0.5816326530612245,0.1326334002137588,1.0,0,0,1,96,
125,B,97,9466.590926431089,9467,0.7319587628865979,0.13422585442338253,1.0,0,0,1,96,
126,A,97,9527.17112713963,9528,0.711340206185567,0.10394919854856688,1.0,0,0,1,98,
126,B,97,9416.576318001291,9417,0.7835051546391752,0.12893171924318547,1.0,0,0,1,98,
127,A,97,9479.893587482879,9480,0.7628865979381443,0.13593775896487537,1.0,0,0,1,103,
127,B,97,9360.03626096998,9361,0.7319587628865979,0.1487811694806883,1.0,0,0,1,103,
