tick,cohesion_v1_A,cohesion_v1_B,cohesion_v2_A,cohesion_v2_B,enemy_collapse_v1_for_A,enemy_collapse_v1_for_B,enemy_collapse_v2_for_A,enemy_collapse_v2_for_B,alive_A,alive_B,pocket_count_A,pocket_count_B
67,1.0,1.0,0.08338454446131816,0.12035772749294871,0.0,0.0,0.8796422725070513,0.9166154555386818,100,100,5,5
68,1.0,1.0,0.08261451144371712,0.11901023496077978,0.0,0.0,0.8809897650392202,0.9173854885562829,100,100,5,5
69,1.0,1.0,0.07916184263190407,0.12471169664345105,0.0,0.0,0.875288303356549,0.9208381573680959,100,100,5,5
70,1.0,1.0,0.07622056230048868,0.11626621897689515,0.0,0.0,0.8837337810231048,0.9237794376995113,100,100,5,5
71,1.0,1.0,0.0749523495679787,0.10837807842119629,0.0,0.0,0.8916219215788037,0.9250476504320213,100,100,5,5
72,1.0,1.0,0.0734535537227341,0.11450504654882687,0.0,0.0,0.8854949534511731,0.9265464462772659,100,100,5,5
73,1.0,1.0,0.06973874983966821,0.1067050681277879,0.0,0.0,0.8932949318722121,0.9302612501603318,100,100,5,5
74,1.0,1.0,0.07417170643341431,0.10194388382680653,0.0,0.0,0.8980561161731935,0.9258282935665857,100,100,5,5
75,1.0,1.0,0.07495252225671944,0.10356862885298335,0.0,0.0,0.8964313711470167,0.9250474777432806,100,100,5,5
76,1.0,1.0,0.07514599881760164,0.12471159036283996,0.0,0.0,0.87528840963716,0.9248540011823984,100,100,5,5
77,1.0,1.0,0.07061289643103597,0.10720088857333832,0.0,0.0,0.8927991114266617,0.929387103568964,100,100,5,5
78,1.0,1.0,0.07239157307653044,0.09793551871599315,0.0,0.0,0.9020644812840068,0.9276084269234696,100,100,5,5
79,1.0,1.0,0.07535436089479075,0.11534441939334128,0.0,0.0,0.8846555806066587,0.9246456391052092,100,100,5,5
80,1.0,1.0,0.07088817697488436,0.11022654454915237,0.0,0.0,0.8897734554508476,0.9291118230251156,100,100,5,5
81,1.0,1.0,0.07142584801912621,0.10958675818440933,0.0,0.0,0.8904132418155907,0.9285741519808738,100,100,5,5
82,1.0,1.0,0.07189875163651527,0.11379010055628547,0.0,0.0,0.8862098994437145,0.9281012483634847,100,100,5,5
83,1.0,1.0,0.07211654656170619,0.10410774537377321,0.0,0.0,0.8958922546262268,0.9278834534382938,100,100,5,5
84,1.0,1.0,0.07170055885382443,0.0971057849104765,0.0,0.0,0.9028942150895235,0.9282994411461756,100,100,5,5
85,1.0,1.0,0.07335362803279,0.08893139345480983,0.0,0.0,0.9110686065451902,0.92664637196721,100,100,5,5
86,1.0,1.0,0.07045046886636364,0.09116067280563211,0.0,0.0,0.9088393271943679,0.9295495311336364,100,100,5,5
87,1.0,1.0,0.07653405046076389,0.08733904373163226,0.0,0.0,0.9126609562683677,0.9234659495392361,100,100,5,5
88,1.0,1.0,0.07437709628134359,0.09504113357942645,0.0,0.0,0.9049588664205735,0.9256229037186564,100,100,5,5
89,1.0,1.0,0.07707967123625481,0.09540576061078943,0.0,0.0,0.9045942393892106,0.9229203287637452,100,100,5,5
90,1.0,1.0,0.07653657344013165,0.08738927937254892,0.0,0.0,0.9126107206274511,0.9234634265598684,100,100,5,5
91,1.0,1.0,0.07848211808056282,0.08349325611170211,0.0,0.0,0.9165067438882979,0.9215178819194372,100,100,5,5
92,1.0,1.0,0.08051908745425285,0.09414712376078649,0.0,0.0,0.9058528762392135,0.9194809125457472,100,100,5,5
93,1.0,1.0,0.07913308154451104,0.08967410877830284,0.0,0.0,0.9103258912216972,0.920866918455489,100,100,5,5
94,1.0,1.0,0.07720563484036747,0.09455805048504262,0.0,0.0,0.9054419495149574,0.9227943651596325,100,100,5,5
95,1.0,1.0,0.07753684240840153,0.09184923355397223,0.0,0.0,0.9081507664460278,0.9224631575915985,100,100,5,5
96,1.0,1.0,0.07801629973939228,0.09499989708445644,0.0,0.0,0.9050001029155436,0.9219837002606077,100,100,5,5
97,1.0,1.0,0.07600120965073465,0.08969726432867198,0.0,0.0,0.910302735671328,0.9239987903492654,100,100,5,5
98,1.0,1.0,0.07419910247426964,0.09921402271432167,0.0,0.0,0.9007859772856783,0.9258008975257304,100,100,5,5
99,1.0,1.0,0.07423953905585468,0.09744843040128204,0.0,0.0,0.902551569598718,0.9257604609441453,100,100,5,5
100,1.0,1.0,0.07233163827800304,0.10119840112005563,0.0,0.0,0.8988015988799444,0.927668361721997,100,100,5,5
101,1.0,1.0,0.0713910974134403,0.08434657535495083,0.0,0.0,0.9156534246450492,0.9286089025865597,100,100,5,5
102,1.0,1.0,0.07179892470714899,0.08343130715474922,0.0,0.0,0.9165686928452508,0.928201075292851,100,100,5,5
103,1.0,1.0,0.07608817765891973,0.09810643417330323,0.0,0.0,0.9018935658266968,0.9239118223410803,100,100,5,5
104,1.0,1.0,0.07459559396751181,0.08945896123562735,0.0,0.0,0.9105410387643726,0.9254044060324882,100,100,5,5
105,1.0,1.0,0.07331793983334367,0.09450929928586083,0.0,0.0,0.9054907007141392,0.9266820601666563,100,100,5,5
106,1.0,1.0,0.07678431348259418,0.0969004000528948,0.0,0.0,0.9030995999471052,0.9232156865174058,100,100,5,5
107,1.0,1.0,0.07503675907000629,0.09194742242153942,0.0,0.0,0.9080525775784606,0.9249632409299937,100,100,6,5
108,1.0,1.0,0.07702899548614595,0.10247690679374966,0.0,0.0,0.8975230932062503,0.922971004513854,100,100,6,5
109,1.0,1.0,0.07465904461687556,0.08099447567924278,0.0,0.0,0.9190055243207572,0.9253409553831244,100,100,6,5
110,1.0,1.0,0.0741506434216378,0.09720694415392817,0.0,0.0,0.9027930558460718,0.9258493565783622,100,100,6,5
111,1.0,1.0,0.07395986427586976,0.1029473346598545,0.0,0.0,0.8970526653401455,0.9260401357241302,99,100,5,5
112,1.0,1.0,0.09715641836596378,0.10309944602625842,0.0,0.0,0.8969005539737416,0.9028435816340362,99,100,5,5
113,1.0,1.0,0.09729042027815826,0.09029870552497621,0.0,0.0,0.9097012944750238,0.9027095797218417,99,100,5,5
114,1.0,1.0,0.09830307950265582,0.08617430910954205,0.0,0.0,0.913825690890458,0.9016969204973442,99,100,5,5
115,1.0,1.0,0.09501475429748163,0.08785413739272863,0.0,0.0,0.9121458626072714,0.9049852457025184,99,100,5,5
116,1.0,1.0,0.09803195490630556,0.0904037838077032,0.0,0.0,0.9095962161922968,0.9019680450936944,98,100,5,5
117,1.0,1.0,0.12918625831861286,0.07727520698808898,0.0,0.0,0.922724793011911,0.8708137416813871,98,100,5,5
118,1.0,1.0,0.1305203092991677,0.07539817144941696,0.0,0.0,0.924601828550583,0.8694796907008323,98,100,5,5
119,1.0,1.0,0.1299523479451582,0.08263691371876414,0.0,0.0,0.9173630862812359,0.8700476520548418,98,100,5,5
120,1.0,1.0,0.11745536718981286,0.08645623389232782,0.0,0.0,0.9135437661076722,0.8825446328101871,97,100,4,5
121,1.0,1.0,0.1638319135549341,0.08516592645565457,0.0,0.0,0.9148340735443454,0.8361680864450659,97,100,4,5
122,1.0,1.0,0.16461545380210219,0.0664649461021728,0.0,0.0,0.9335350538978272,0.8353845461978978,97,100,4,5
123,1.0,1.0,0.145994806039905,0.08393896535412582,0.0,0.0,0.9160610346458742,0.854005193960095,96,100,4,5
124,1.0,1.0,0.20792934959467624,0.08694094904441962,0.0,0.0,0.9130590509555804,0.7920706504053238,96,100,4,5
