tick,deep_A,deep_B,ecs_A,ecs_B,coh_A,coh_B,dcoh_A,dcoh_B,pocket_A,pocket_B,reinteg_A,reinteg_B,alive_A,alive_B
259,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,38,45
260,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,37,43
261,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,37,43
262,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,36,42
263,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,36,42
264,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,36,42
265,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,35,42
266,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,35,42
267,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,35,42
268,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,35,41
269,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,33,40
270,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,33,40
271,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,33,39
272,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,33,39
273,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,33,38
274,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,33,38
275,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,32,37
276,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,32,37
277,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,31,37
278,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,31,37
279,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,30,37
280,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,30,37
281,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,30,37
282,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,30,37
283,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,30,37
284,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,29,36
285,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,29,36
286,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,29,35
287,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,29,34
288,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,29,34
289,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,28,34
290,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,28,33
291,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,28,33
292,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,28,33
293,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,28,33
294,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,28,33
295,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,27,33
296,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,27,33
297,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,27,33
298,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,26,32
299,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,26,32
300,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,25,32
