tick,unit_id,expected_x,expected_y,actual_x,actual_y,actual_rel_forward,actual_rel_lateral,offset_forward_local,offset_lateral_local,delta_forward,delta_lateral,centroid_x,centroid_y,primary_axis_x,primary_axis_y,secondary_axis_x,secondary_axis_y
13,A84,70.439093,52.022361,69.877636,51.846393,3.478576,-12.727390,4.000000,-13.000000,-0.521424,0.272610,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A85,69.024802,53.436497,69.140867,53.697618,4.266717,-10.897444,4.000000,-11.000000,0.266717,0.102556,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A86,67.610510,54.850632,67.438579,55.065563,4.030421,-8.726449,4.000000,-9.000000,0.030421,0.273551,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A87,66.196218,56.264767,65.905903,56.350438,3.855310,-6.734130,4.000000,-7.000000,-0.144690,0.265870,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A88,64.781926,57.678902,65.924934,58.519499,5.402608,-5.213915,4.000000,-5.000000,1.402608,-0.213915,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A89,63.367634,59.093038,63.088266,59.069379,3.785737,-2.819174,4.000000,-3.000000,-0.214263,0.180826,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A90,61.953343,60.507173,62.265685,60.626067,4.304923,-1.136805,4.000000,-1.000000,0.304923,-0.136805,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A91,60.539051,61.921308,60.957107,62.099842,4.421843,0.830609,4.000000,1.000000,0.421843,-0.169391,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A92,59.124759,63.335444,58.705021,63.613369,3.899751,3.493328,4.000000,3.000000,-0.100249,0.493328,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A93,57.710467,64.749579,58.630190,65.812987,5.402291,5.101523,4.000000,5.000000,1.402291,0.101523,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
