tick,legality_reference_surface_count,legality_feasible_surface_count,legality_middle_stage_active,legality_handoff_ready,expected_position_rms_error,projection_pairs_count,projection_mean_displacement,projection_max_displacement,corrected_unit_ratio
115,100,100,True,True,1.0546127627793924,5,0.0016646268480772996,0.06494029896499076,0.1
116,100,100,True,True,1.0548403310233292,5,0.002039990981736428,0.08639304264925451,0.1
117,100,100,True,True,1.0590688457460826,2,0.0014938495782586014,0.046999316164415106,0.04
118,100,100,True,True,1.0586031790342965,4,0.0009411163170975567,0.03381781064971956,0.06
119,100,100,True,True,1.0580831436147276,3,0.00011938044457091776,0.005324765455488989,0.05
120,100,100,True,True,1.0609216408226414,6,0.0048301737911802724,0.1443478169119521,0.1
121,100,100,True,True,1.0643570675165537,7,0.007060490843512362,0.15429564710847282,0.11
122,100,100,True,True,1.0690797430840002,6,0.005511543486614373,0.15059051197076848,0.11
123,100,100,True,True,1.0705586501767637,6,0.0030479106230726877,0.09506157650387656,0.1
124,100,100,True,True,1.0709136294914345,10,0.008993631845521606,0.19536982057369978,0.16
125,100,100,True,True,1.0716138421331967,10,0.0037266241771839255,0.06192266959063374,0.17
126,100,100,True,True,1.0814945939243692,11,0.008858227387488916,0.2271906125820733,0.19
127,100,100,True,True,1.0840788519635547,8,0.003918633637713965,0.09034646090894183,0.15
128,100,100,True,True,1.0842895660120122,5,0.0011686364748864908,0.03925102521653134,0.1
129,100,100,True,True,1.083034481753495,4,0.00028242515002425885,0.009894740441961812,0.07
130,100,100,True,True,1.0846146938002286,6,0.005207545911326018,0.1451521736743429,0.11
131,100,100,True,True,1.0907776887426683,6,0.007624597482433731,0.26099298042795666,0.11
132,100,100,True,True,1.0916457419062586,2,0.0032370172983710167,0.14537702001752625,0.03
133,100,100,True,True,1.0903654586080114,4,0.0002689908580411612,0.012621171583893642,0.07
134,100,100,True,True,1.09412047879715,7,0.005673216164980958,0.18216014337892805,0.12
135,100,100,True,True,1.1025581303349725,6,0.007077162933937171,0.16983452273419913,0.09
136,100,100,True,True,1.1011778390648457,3,9.052139565730587e-06,0.000414403866027202,0.06
137,100,100,True,True,1.1008406521518104,3,1.208706544328031e-05,0.00040430465188834313,0.06
138,100,100,True,True,1.1006503496184743,0,0.0,0.0,0.0
139,100,100,True,True,1.1004970727167231,0,0.0,0.0,0.0
140,100,100,True,True,1.1003831648415907,0,0.0,0.0,0.0
141,100,100,True,True,1.1002948915122719,2,2.404905396515833e-06,0.00011971469664595613,0.04
142,100,100,True,True,1.1002356034193634,1,4.6045287476204056e-08,2.302264373810203e-06,0.02
143,100,100,True,True,1.1001753476564873,1,6.160826272472164e-08,3.0804131362360825e-06,0.02
144,100,100,True,True,1.1001269698542384,1,4.749931440395372e-08,2.374965720197686e-06,0.02
145,100,100,True,True,1.1000875643075319,2,1.655619522722418e-06,8.239287927358507e-05,0.04
146,100,100,True,True,1.1000617951152143,0,0.0,0.0,0.0
147,100,100,True,True,1.1000324590701356,0,0.0,0.0,0.0
148,100,100,True,True,1.100008869657402,0,0.0,0.0,0.0
149,100,100,True,True,1.0999894355237567,3,1.078389474162833e-06,5.322577256150485e-05,0.06
150,100,100,True,True,1.0999734220383526,2,9.384640534348953e-07,4.558048411740234e-05,0.04
151,100,100,True,True,1.0999630277872017,1,2.0638214683899035e-08,1.0319107341949518e-06,0.02
152,100,100,True,True,1.0999510386132132,0,0.0,0.0,0.0
153,100,100,True,True,1.0999414839814359,1,5.067159578597824e-09,2.533579789298912e-07,0.02
154,100,100,True,True,1.0999335599241566,2,4.7215719613857836e-07,2.338627447506791e-05,0.04
155,100,100,True,True,1.0999270310615283,2,3.9657766617073873e-07,1.9671669887477705e-05,0.04
156,100,100,True,True,1.099922923863329,1,2.0121580912579872e-09,1.0060790456289936e-07,0.02
157,100,100,True,True,1.0999178955022328,1,1.1576608132113364e-08,5.788304066056682e-07,0.02
158,100,100,True,True,1.0999140143015986,1,8.890424707530542e-09,4.4452123537652705e-07,0.02
159,100,100,True,True,1.0999108872512229,2,2.0566126790466654e-07,1.0186978414594705e-05,0.04
160,100,100,True,True,1.099909124224924,1,1.46551942359352e-09,7.327597117967599e-08,0.02
161,100,100,True,True,1.0999066046378856,0,0.0,0.0,0.0
162,100,100,True,True,1.0999047120691494,0,0.0,0.0,0.0
163,100,100,True,True,1.099903194592899,2,1.2743509945067898e-07,6.332723917368277e-06,0.04
164,100,100,True,True,1.0999024581224583,2,5.851728008821057e-09,2.4918017171859935e-07,0.04
165,100,100,True,True,1.0999011864791097,2,4.510277806790697e-09,1.9084206126507294e-07,0.04
166,100,100,True,True,1.099900306724012,2,3.421982595064321e-09,1.4651827906497772e-07,0.04
167,100,100,True,True,1.099899610986886,2,8.088971850783722e-08,3.931972891613178e-06,0.04
168,100,100,True,True,1.0998990487988345,2,6.764066925679657e-08,3.2956304018005866e-06,0.04
169,100,100,True,True,1.0998986115025837,2,4.698790354362714e-08,2.283016833692919e-06,0.04
170,100,100,True,True,1.0998984211224445,1,3.061737752219074e-10,1.5308688761095368e-08,0.02
171,100,100,True,True,1.099898048274576,1,2.2754592654550268e-10,1.1377296327275134e-08,0.02
172,100,100,True,True,1.099897816345662,1,1.6107587930136447e-10,8.053793965068223e-09,0.02
173,100,100,True,True,1.099897641791168,1,2.3700062377063348e-08,1.1850031188531673e-06,0.02
174,100,100,True,True,1.0998975059348157,2,1.9736976497597428e-08,9.844567424588393e-07,0.04
175,100,100,True,True,1.0998974104101895,3,1.4390612430581484e-08,6.818498368144077e-07,0.04
176,100,100,True,True,1.0998973865365507,2,6.787345308012505e-10,2.877216409569172e-08,0.04
177,100,100,True,True,1.0998972808157506,1,4.4106870156213054e-10,2.2053435078106528e-08,0.02
