run_id,movement_model,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB5_PD5_vs_reinhard_v3a,v3a,8,5,5,reinhard,1,v2,A,492,8,0,105,114,124,177,2.273595517220792,2.356009540011598,0.6401903367754553,0.6291535316842265,1.742415420395108,2.1294883743313844,0.9694855194318126,9fd50a75cd55759a9b25b9ba4bf704b97c3f4bc9b21d9faaa139ce023ef43d85
precontact_FR8_MB5_PD5_vs_reinhard_v3b1,v3b1,8,5,5,reinhard,1,v2,B,509,0,8,105,114,417,174,2.419942234528522,2.455266328745007,0.6818671635524486,0.6545824559939212,1.7424632108142133,2.2593273565653393,0.9713141770062667,76252e837f4812109577036fd84095726d0c7e50059078eac7bf48428110b1a1
precontact_FR8_MB5_PD5_vs_reinhard_v3b2,v3b2,8,5,5,reinhard,1,v2,B,417,0,21,105,113,184,173,2.240425168439984,2.3046176523481527,0.6209411243406483,0.5838248016714931,1.7362188278310262,2.159184577480656,0.8721140550882868,6cbeb4a5f45fa31cae32e8fda12213512893c1fe830901ca97be3e8ca40e1b81
precontact_FR8_MB5_PD5_vs_reinhard_v3b3,v3b3,8,5,5,reinhard,1,v2,A,435,16,0,105,113,246,189,2.1590520993299265,2.2425117526028933,0.6846168948339622,0.6401502607340899,1.73057687813222,2.009771496770254,0.9736566793439422,d5acc59cf668c1f1c4ec14540002fec97dd3b3042f5e1ba3958edda64a27ed8f
precontact_FR8_MB5_PD5_vs_reinhard_v3b4,v3b4,8,5,5,reinhard,1,v2,B,458,0,15,104,112,325,171,2.1138028149718786,2.1840683277974993,0.6419163744663507,0.6037784418103638,1.7354326980848171,2.0743327226487756,1.0,17c6205b3558ab7c6dc7424045fbd115c50ed284451a9db4742b6a392519fb91
precontact_FR8_MB5_PD5_vs_reinhard_v3b5,v3b5,8,5,5,reinhard,1,v2,A,409,21,0,104,112,123,163,2.0331106541866553,2.1840683277974993,0.6535835449373167,0.6048328935899339,1.7336610577505414,1.9624910383908367,0.9211003300322826,b6587ff968547a486e9325f94c06472a4c9e2f43d891e5ed662a3f78dda6333f
precontact_FR8_MB5_PD5_vs_kircheis_v3a,v3a,8,5,5,kircheis,2,v2,A,583,3,0,104,114,292,204,2.261438538408475,2.3494049358815623,0.6238741517710128,0.5820240875183447,1.7268301993735404,2.3003691820365244,0.9096977136394039,4c76ed0286fe4c609269ef10c45dcca137f9bdfbfe9cceaba094604833a623aa
precontact_FR8_MB5_PD5_vs_kircheis_v3b1,v3b1,8,5,5,kircheis,2,v2,A,471,11,0,105,114,279,168,2.382533308608742,2.4506026965066208,0.6096890697890497,0.5930555736294868,1.7355598822444636,2.1239086017352022,0.9711475541164496,5dc7e676f3164d7d89d6ac2345737b707cedf214ed8763dfc16dc42407fa0659
precontact_FR8_MB5_PD5_vs_kircheis_v3b2,v3b2,8,5,5,kircheis,2,v2,B,497,0,8,103,112,392,191,2.289380011866109,2.3280871207351734,0.6392945941782967,0.6145613021037462,1.7271421176271007,2.1500712717958974,0.9685722712148941,e48b1cb413615909f257a3e232a37e955a25feb8d3add7db94dc6e86953fd8a6
precontact_FR8_MB5_PD5_vs_kircheis_v3b3,v3b3,8,5,5,kircheis,2,v2,A,428,17,0,104,113,391,180,2.2458014535152295,2.332504629388712,0.6377509154795385,0.6155086425863816,1.7224191393228818,2.1871184928070515,0.9381779473499764,c6dca7f03dc5d2795a124b54290dfefcc8b93e24fb91a375b6ca949eb8289f05
