run_id,movement_model,movement_v3a_experiment,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,precontact_outlier_total_p90,precontact_persistent_outlier_p90,precontact_max_persistence_max,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB5_PD5_vs_reuenthal_exp_c_frame_translation,v3a,exp_c_frame_translation,8,5,5,reuenthal,3,v2,A,522,7,0,109,117,133,137,1.9437560018488924,2.1874150586872716,0.7394389230249676,0.722043342290267,1.7271307386762382,0.0,0.0,0.0,2.1765858412181744,0.9015795636127962,70be87ffb4d2acc0a5c6ea193b6540d73f06cda96f3e9c6c27629f76916f1ad8
precontact_FR8_MB5_PD5_vs_mittermeyer_base,v3a,base,8,5,5,mittermeyer,4,v2,A,502,7,0,107,115,126,167,2.048561514820719,2.1840683277974993,0.6308282863430701,0.6204761282916935,1.739113667372385,2.0,0.0,27.0,1.9620634833188573,0.8107870540116054,af2753f551530683ba268cbb6ff2ec78701d56eb859b695c08429a14a894005e
precontact_FR8_MB5_PD5_vs_mittermeyer_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,5,5,mittermeyer,4,v2,A,494,9,0,108,116,127,137,1.9969142376418971,2.194327974061379,0.758198094311093,0.7196145252445196,1.726803106977199,0.0,0.0,0.0,2.2391005592217317,1.0607056883383974,e544997ef160cc88bbe64b6d5cb245d40ed86945f349f9d427fc8b1d91ed2dd1
precontact_FR8_MB5_PD5_vs_mittermeyer_exp_b_distance_capped,v3a,exp_b_distance_capped,8,5,5,mittermeyer,4,v2,B,507,0,9,107,115,126,263,2.0848549116275583,2.183843234534183,0.6758441602065299,0.6655148739487382,1.7277373452292464,2.0,0.10000000000000853,29.0,2.123322630608547,0.9103094691847093,85c68933cb8a9eb5bd8e82102ee555075c0fee909539d80da5b91ac2d16b7529
precontact_FR8_MB5_PD5_vs_mittermeyer_exp_c_frame_translation,v3a,exp_c_frame_translation,8,5,5,mittermeyer,4,v2,A,478,12,0,107,115,170,149,1.9984112459683168,2.1874150586872716,0.7296656076300173,0.7013959581885313,1.7306707472960512,1.0,0.0,20.0,1.843323813566698,0.9536900985565306,4fcc2c0c378b44f776a723cc47e58d6ea2398e323059acd10cabca0ee3da9543
precontact_FR8_MB5_PD5_vs_bittenfeld_base,v3a,base,8,5,5,bittenfeld,5,v2,B,484,0,11,105,114,124,204,2.2329220807928447,2.33363447499772,0.6300906181075183,0.5950063505674265,1.7437379177761698,5.0,3.0,42.0,2.136609596643347,0.8975652588050267,87bfc1c633065aae4d8a5c5e5d1594f3236289b927cc3d20280b37165c9c5219
precontact_FR8_MB5_PD5_vs_bittenfeld_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,5,5,bittenfeld,5,v2,B,502,0,8,106,115,125,136,1.9766637065889576,2.194327974061379,0.7432739378534909,0.7039186743711963,1.7334754811611324,0.0,0.0,7.0,1.9164450306729421,1.0,bb08c2af9b9ce248e1fc38449b45409e250a4845c29e4c930879b4bfec5baa89
precontact_FR8_MB5_PD5_vs_bittenfeld_exp_b_distance_capped,v3a,exp_b_distance_capped,8,5,5,bittenfeld,5,v2,B,413,0,19,105,114,124,163,2.183848033393603,2.258793202675356,0.5985701290227649,0.5760829571484289,1.7545400563034286,6.0,2.0,42.0,2.258358364113759,0.8536178535740984,ed663a27a4deb970dc4ceaba4264577571ceb0c8ed1f0217d5ce8b9c5b084c24
precontact_FR8_MB5_PD5_vs_bittenfeld_exp_c_frame_translation,v3a,exp_c_frame_translation,8,5,5,bittenfeld,5,v2,B,444,0,17,106,113,125,212,2.1155298958593685,2.1874150586872716,0.6434448828795899,0.6228275333325368,1.7325845397979653,1.0,1.0,35.0,2.1626184947065585,0.9031637487078,c7b2297bf32be5cda8ff6beb6828a0945b3ee7298c5b75aec8da95d83de5ec90
precontact_FR8_MB5_PD5_vs_muller_base,v3a,base,8,5,5,muller,6,v2,A,425,17,0,104,113,123,193,2.1857817280129916,2.2527154263842797,0.5869898478884581,0.5654491683206513,1.7456297287764182,7.0,7.0,56.0,2.0666618744365794,0.9177301859675785,b638ff4397085aefcc496a4ecb25e2e19761f587afeb7c2a986af14aa0a49325
