case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR2_MB2_PD5,2.0,2.0,5.0,16,B,100,29,0.29,174.64057079894675,175.32209433697005,9.387878286094477,20.0,0.4693939143047238,1.0,0.29,0.03551491335162471,0.0270214094047595,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,17,A,100,44,0.44,26.01477440647442,25.36713129591913,9.455110978547083,20.0,0.47275554892735416,1.0,0.44,0.052188592608690354,0.022189626433255394,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,17,B,100,18,0.18,173.93458762641473,174.63290609197912,9.372509186004622,20.0,0.46862545930023114,1.0,0.18,0.022189626433255394,0.052188592608690354,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,18,A,100,9,0.09,26.704431028783358,26.058800712463867,9.4465671641532,20.0,0.47232835820765995,1.0,0.09,0.010727916891515754,0.021170654971446656,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,18,B,100,17,0.17,173.2405852354859,173.93645098161943,9.356996127734572,20.0,0.4678498063867286,1.0,0.17,0.021170654971446656,0.010727916891515754,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,19,A,100,25,0.25,27.397555982920686,26.747358942517167,9.44980301792553,20.0,0.47249015089627655,1.0,0.25,0.029429462920304017,0.016303981383414046,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,19,B,100,13,0.13,172.5268662859099,173.25863185413488,9.354510874876283,20.0,0.46772554374381414,1.0,0.13,0.016303981383414046,0.029429462920304017,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,20,A,100,23,0.23,28.082812700387855,27.443350344730124,9.440375260686787,20.0,0.4720187630343394,1.0,0.23,0.026779096730036644,0.008736767759448316,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,20,B,100,7,0.07,171.82952231239037,172.5650644157479,9.35409656078709,20.0,0.4677048280393545,1.0,0.07,0.008736767759448316,0.026779096730036644,0.5555555555555556,1
FR2_MB2_PD8,2.0,2.0,8.0,0,A,100,33,0.33,14.3840620433566,13.676955262170054,9.362691920596342,20.0,0.4681345960298171,1.0,0.33,0.04052646724512632,0.004912299060015335,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,0,B,100,4,0.04,185.6159379566434,186.32304473782995,9.362691920596344,20.0,0.4681345960298172,1.0,0.04,0.004912299060015335,0.04052646724512632,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,1,A,100,92,0.92,15.076640880569425,14.374138493420487,9.34992113355176,20.0,0.467496056677588,1.0,0.92,0.11106670958601339,0.02555487478822749,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,1,B,100,21,0.21,184.93645351022965,185.6410532071978,9.382942083628285,20.0,0.46914710418141425,1.0,0.21,0.02555487478822749,0.11106670958601339,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,2,A,100,30,0.3,15.755020552334976,15.055676885011962,9.411566966271568,20.0,0.4705783483135784,1.0,0.3,0.03545965665063222,0.046721098451756427,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,2,B,100,39,0.39,184.24970913690078,184.9580208320348,9.370241214053213,20.0,0.4685120607026606,1.0,0.39,0.046721098451756427,0.03545965665063222,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,3,A,100,33,0.33,16.430736769568426,15.733386232075112,9.440485960832731,20.0,0.4720242980416366,1.0,0.33,0.038498175745854124,0.03121000514684713,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,3,B,100,27,0.27,183.5608177451707,184.2827481341643,9.372300231374542,20.0,0.4686150115687271,1.0,0.27,0.03121000514684713,0.038498175745854124,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,4,A,100,48,0.48,17.111778803715698,16.41147377364471,9.45521736239078,20.0,0.472760868119539,1.0,0.48,0.05497191585587646,0.043887425944963976,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,4,B,100,37,0.37,182.88155514472393,183.59633440593552,9.40085439829271,20.0,0.4700427199146355,1.0,0.37,0.043887425944963976,0.05497191585587646,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,5,A,100,35,0.35,17.78402611687828,17.10845562534246,9.464806950998765,20.0,0.47324034754993827,1.0,0.35,0.04062688507550638,0.04445103093885305,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,5,B,100,38,0.38,182.20394902315144,182.90673078170428,9.406899023684128,20.0,0.4703449511842064,1.0,0.38,0.04445103093885305,0.04062688507550638,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,6,A,100,57,0.57,18.473169225741966,17.792135725628125,9.475196459370865,20.0,0.47375982296854324,1.0,0.57,0.06564550522402413,0.04386612660932332,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,6,B,100,37,0.37,181.5189896108488,182.23018000704815,9.41731721246779,20.0,0.4708658606233895,1.0,0.37,0.04386612660932332,0.06564550522402413,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,7,A,100,41,0.41,19.153498472322664,18.48232741896757,9.484992477366635,20.0,0.47424962386833175,1.0,0.41,0.04811081830570363,0.05647278608647144,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,7,B,100,48,0.48,180.8401192046285,181.54830476834354,9.422322265463102,20.0,0.47111611327315506,1.0,0.48,0.05647278608647144,0.04811081830570363,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,8,A,100,53,0.53,19.845860181214345,19.167668454396672,9.472155907860952,20.0,0.4736077953930476,1.0,0.53,0.061149673615692346,0.02237069312270834,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,8,B,100,19,0.19,180.1586156029121,180.86232485549593,9.432270559170112,20.0,0.4716135279585056,1.0,0.19,0.02237069312270834,0.061149673615692346,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,9,A,100,47,0.47,20.531333302334037,19.85752183101592,9.4730886601526,20.0,0.47365443300763,1.0,0.47,0.05422840597117484,0.036234335050830735,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,9,B,100,30,0.3,179.46421405799975,180.1870297128403,9.42875755915824,20.0,0.47143787795791203,1.0,0.3,0.036234335050830735,0.05422840597117484,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,10,A,100,47,0.47,21.221216894740618,20.546555607905535,9.45969039292033,20.0,0.47298451964601645,1.0,0.47,0.05413075643781029,0.016882380887154658,0.2222222222222222,1
FR2_MB2_PD8,2.0,2.0,8.0,10,B,100,14,0.14,178.76851387894308,179.51183745381277,9.444814625836095,20.0,0.47224073129180477,1.0,0.14,0.016882380887154658,0.05413075643781029,0.2222222222222222,1
