case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,26,B,100,28,0.28,168.19416332907028,168.18686193437145,9.768572756173114,20.0,0.4884286378086557,1.0,0.28,0.0316110548704267,0.0586409244887508,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,27,A,100,18,0.18,32.716105355046786,32.030801727015785,8.805627740410763,20.0,0.44028138702053815,1.0,0.18,0.03256027925595428,0.010180261584851968,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,27,B,100,9,0.09,167.51846200291212,167.4829581763798,9.770447638458878,20.0,0.4885223819229439,1.0,0.09,0.010180261584851968,0.03256027925595428,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,28,A,100,32,0.32,33.40511318432001,32.716907855778146,8.781807251151253,20.0,0.4390903625575627,1.0,0.32,0.06058954959671714,0.006743154835454179,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,28,B,100,6,0.06,166.8422286449547,166.76947773546289,9.761854317431567,20.0,0.4880927158715783,1.0,0.06,0.006743154835454179,0.06058954959671714,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,29,A,100,31,0.31,34.091373765931486,33.406320555123386,8.78002896473422,20.0,0.43900144823671094,1.0,0.31,0.060368988411763636,0.0067177722221036795,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,29,B,100,6,0.06,166.1604580975767,166.07043864496723,9.773232287543474,20.0,0.4886616143771737,1.0,0.06,0.0067177722221036795,0.060368988411763636,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,30,A,100,33,0.33,34.770462961336605,34.09437827021704,8.770599317031662,20.0,0.4385299658515831,1.0,0.33,0.06578223996241261,0.007854625695314477,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,30,B,100,7,0.07,165.48195734159697,165.36668645216247,9.77067154992618,20.0,0.488533577496309,1.0,0.07,0.007854625695314477,0.06578223996241261,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,31,A,100,12,0.12,35.46850666469611,34.77043553196046,8.764742073059265,20.0,0.43823710365296326,1.0,0.12,0.024792114862381087,0.010137146933532737,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,31,B,100,9,0.09,164.80218785004737,164.66056632522276,9.771795582570615,20.0,0.48858977912853074,1.0,0.09,0.010137146933532737,0.024792114862381087,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,32,A,100,30,0.3,36.16074597914769,35.45246643745334,8.762743316978447,20.0,0.43813716584892237,1.0,0.3,0.06184922442023699,0.00795822711252181,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,32,B,100,7,0.07,164.11822303882363,163.95711179603316,9.780972836845201,20.0,0.48904864184226005,1.0,0.07,0.00795822711252181,0.06184922442023699,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,33,A,100,16,0.16,36.847468969284606,36.146887240588555,8.757842420393045,20.0,0.43789212101965225,1.0,0.16,0.03356921389173351,0.009125158432419123,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,33,B,100,8,0.08,163.4429118968618,163.25023103710993,9.776771733819565,20.0,0.48883858669097824,1.0,0.08,0.009125158432419123,0.03356921389173351,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,34,A,100,17,0.17,37.54267850705369,36.82501268441228,8.749051240994893,20.0,0.43745256204974464,1.0,0.17,0.03651484454543741,0.012597766351288953,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,34,B,100,11,0.11,162.76255120596926,162.5468427373404,9.765783230979139,20.0,0.48828916154895696,1.0,0.11,0.012597766351288953,0.03651484454543741,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,35,A,100,24,0.24,38.23068701870382,37.50908095114465,8.73814243828211,20.0,0.43690712191410547,1.0,0.24,0.0529957983878655,0.014750746653137248,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,35,B,100,13,0.13,162.10125495641955,161.82486722979993,9.75587112496956,20.0,0.48779355624847803,1.0,0.13,0.014750746653137248,0.0529957983878655,0.5555555555555556,1
