case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,11,A,100,0,67,0.67,100,1.0,21.243353419001743,20.76492517055361,8.165988862490526,20.0,0.40829944312452626,1.0,0.67,1.0,1.7665885358714801,1.8838602371634672,2.049513375241358,0.1366655732414781,0.14519303909355075,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,11,B,100,0,69,0.69,100,1.0,178.71976407529317,179.3511836817793,8.148274777260774,20.0,0.40741373886303867,1.0,0.69,1.0,1.8135973396150313,1.869387522957585,2.2148073163575273,0.14519303909355075,0.1366655732414781,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,12,A,100,0,72,0.72,100,1.0,21.88350465183612,21.39149339251501,8.10976013658533,20.0,0.40548800682926645,1.0,0.72,1.0,1.7744760417773109,1.8667870093808712,2.1266135280017493,0.1544955815681911,0.15613134366847115,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,12,B,100,0,69,0.69,100,1.0,178.09683491768385,178.70088529276242,8.097518996805398,20.0,0.4048759498402699,1.0,0.69,1.0,1.780496730262381,1.8510452793741439,2.238181432165759,0.15613134366847115,0.1544955815681911,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,13,A,100,0,70,0.7,100,1.0,22.490351562310664,22.051725503804295,8.040645055964204,20.0,0.4020322527982102,1.0,0.7,1.0,1.778502974411034,1.8673211204240174,2.1124652055899964,0.16041728486496298,0.15759207505283812,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,13,B,100,0,68,0.68,100,1.0,177.4811538459518,178.06682373282104,8.0571303320921,20.0,0.40285651660460503,1.0,0.68,1.0,1.7979112936134605,1.8525330297339595,2.2584069927300527,0.15759207505283812,0.16041728486496298,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,14,A,100,0,76,0.76,100,1.0,23.12833561392998,22.67401646355802,7.975431066506495,20.0,0.39877155332532477,1.0,0.76,1.0,1.7643405512776997,1.8335478898943554,2.1073548931556454,0.18788026810533998,0.12730171093014075,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,14,B,100,0,50,0.5,100,1.0,176.831236553079,177.4354060924383,8.038784650712508,20.0,0.40193923253562536,1.0,0.5,1.0,1.782623734522686,1.8791217347038722,2.174417185166904,0.12730171093014075,0.18788026810533998,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,15,A,100,0,64,0.64,100,1.0,23.76716627397583,23.313132528660507,7.957285403397724,20.0,0.3978642701698862,1.0,0.64,1.0,1.781693803619027,1.8337247853358756,2.0949661190165885,0.16215798715028407,0.17005340168490235,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,15,B,100,0,62,0.62,100,1.0,176.2418746817671,176.767375964015,7.984444758854306,20.0,0.39922223794271533,1.0,0.62,1.0,1.7742310638933194,1.9008135997218036,2.2093414276439627,0.17005340168490235,0.16215798715028407,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,16,A,100,0,67,0.67,100,1.0,24.405079063276258,23.937421526554317,7.923114280739046,20.0,0.3961557140369523,1.0,0.67,1.0,1.7861681227735324,1.8120680413997001,2.1514326659835263,0.17788779313050407,0.17638209398121807,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,16,B,100,0,63,0.63,100,1.0,175.6224348055148,176.1200029585833,7.955654249505483,20.0,0.39778271247527414,1.0,0.63,1.0,1.7971040942167833,1.8946004676677706,2.222898391896745,0.17638209398121807,0.17788779313050407,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,17,A,100,0,54,0.54,100,1.0,25.034841278607146,24.575600548313947,7.8883946925115325,20.0,0.3944197346255766,1.0,0.54,1.0,1.7828413168193205,1.8433808535175766,2.162124253248755,0.15226852164294702,0.18402588870080427,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,17,B,100,0,64,0.64,100,1.0,175.0047604029388,175.46231987907456,7.931280118556132,20.0,0.3965640059278066,1.0,0.64,1.0,1.8147784608709918,1.8623036028483413,2.2345377800026784,0.18402588870080427,0.15226852164294702,0.5555555555555556,1
