case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,5,A,100,0,62,0.62,100,1.0,17.736561573320042,17.01914161679935,9.281667944577173,20.0,0.4640833972288586,1.0,0.62,1.0,1.8993949920492523,1.9182115324717013,2.0555508844665336,0.07467961391964562,0.022722263853882096,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,5,B,100,0,20,0.2,100,1.0,182.29810935826686,182.91394281328203,9.575582102699235,20.0,0.47877910513496175,1.0,0.2,1.0,1.936090955847955,1.966352057212148,2.003569934590672,0.022722263853882096,0.07467961391964562,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,6,A,100,0,61,0.61,100,1.0,18.40942509405129,17.694562276306964,9.258196711922707,20.0,0.46290983559613536,1.0,0.61,1.0,1.9157022025513823,1.9405633076437012,2.023757623842326,0.07437142926547569,0.019339958687773606,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,6,B,100,0,17,0.17,100,1.0,181.63100829943338,182.23246279675806,9.60960267403533,20.0,0.48048013370176645,1.0,0.17,1.0,1.9387342616358976,1.9625624393279086,2.0307475115939244,0.019339958687773606,0.07437142926547569,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,7,A,100,0,71,0.71,100,1.0,19.102091728865776,18.352026178940882,9.231184341212256,20.0,0.46155921706061276,1.0,0.71,1.0,1.8976336790874118,1.9207533837194177,2.004159679073532,0.08721316764497666,0.025102147566458566,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,7,B,100,0,22,0.22,100,1.0,180.94139787239888,181.5737089301933,9.633447805022833,20.0,0.4816723902511416,1.0,0.22,1.0,1.9485156420431549,1.9716547869227714,2.0501063851781582,0.025102147566458566,0.08721316764497666,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,8,A,100,0,71,0.71,100,1.0,19.770915871747853,19.02160797427525,9.20482615302102,20.0,0.46024130765105103,1.0,0.71,1.0,1.8881467339445235,1.9171472392232405,2.0019722618203093,0.0859664762208372,0.011329173168825202,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,8,B,100,0,10,0.1,100,1.0,180.26041933167343,180.89122625749624,9.64507960638913,20.0,0.4822539803194565,1.0,0.1,1.0,1.9764553463442869,1.9882625273265806,2.059785842700285,0.011329173168825202,0.0859664762208372,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,9,A,100,0,57,0.57,100,1.0,20.437737864783237,19.6975415751529,9.195072069486338,20.0,0.45975360347431693,1.0,0.57,1.0,1.9020862688250313,1.9409628735420092,2.0086144039637213,0.07058030601347975,0.01612284404395936,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,9,B,100,0,14,0.14,100,1.0,179.59220516027625,180.19385473402843,9.6690907643794,20.0,0.48345453821897,1.0,0.14,1.0,1.9729031083112798,1.994684141312902,2.0466239071304906,0.01612284404395936,0.07058030601347975,0.5555555555555556,1
